scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
yönelmek-varmak,Babasının isteğiyle öğretmen olma hedefine yönelmişti.,Babasının isteğiyle öğretmen olma hedefine varmıştı.,Babasının isteğiyle öğretmen olma hedefine yönelmemişti.,Babasının isteğiyle öğretmen olma hedefine varmamıştı.,"Babasının isteğiyle öğretmen olma hedefine yönelmişti, hatta varmıştı.","Babasının isteğiyle öğretmen olma hedefine yönelmişti, belki de varmıştı.",Babasının isteğiyle öğretmen olma hedefine yönelmişti ama varmamıştı.,"Babasının isteğiyle öğretmen olma hedefine varmamıştı, hatta yönelmemişti bile.","Babasının isteğiyle öğretmen olma hedefine varmamıştı, belki yönelmemişti bile.",Babasının isteğiyle öğretmen olma hedefine varmamıştı ama yönelmişti.
yönelmek-varmak,Hızlıca yemekhaneye yöneldi.,Hızlıca yemekhaneye vardı.,Hızlıca yemekhaneye yönelmedi.,Hızlıca yemekhaneye varmadı.,"Hızlıca yemekhaneye yöneldi, hatta vardı.","Hızlıca yemekhaneye yöneldi, belki de vardı.",Hızlıca yemekhaneye yöneldi ama varmadı.,"Hızlıca yemekhaneye varmadı, hatta yönelmedi bile.","Hızlıca yemekhaneye varmadı, belki yönelmedi bile.",Hızlıca yemekhaneye varmadı ama yöneldi.
yönelmek-varmak,Akarsuyun kenarına yöneldi.,Akarsuyun kenarına vardı.,Akarsuyun kenarına yönelmedi.,Akarsuyun kenarına varmadı.,"Akarsuyun kenarına yöneldi, hatta vardı.","Akarsuyun kenarına yöneldi, belki de vardı.",Akarsuyun kenarına yöneldi ama varmadı.,"Akarsuyun kenarına varmadı, hatta yönelmedi bile.","Akarsuyun kenarına varmadı, belki yönelmedi bile.",Akarsuyun kenarına varmadı ama yöneldi.
yönelmek-varmak,Yönetim kurulu toplantı salonuna yöneldi.,Yönetim kurulu toplantı salonuna vardı.,Yönetim kurulu toplantı salonuna yönelmedi.,Yönetim kurulu toplantı salonuna varmadı.,"Yönetim kurulu toplantı salonuna yöneldi, hatta vardı.","Yönetim kurulu toplantı salonuna yöneldi, belki de vardı.",Yönetim kurulu toplantı salonuna yöneldi ama varmadı.,"Yönetim kurulu toplantı salonuna varmadı, hatta yönelmedi bile.","Yönetim kurulu toplantı salonuna varmadı, belki yönelmedi bile.",Yönetim kurulu toplantı salonuna varmadı ama yöneldi.
yönelmek-varmak,Adrenalin tutkunu gezginler Japonya'ya yöneldi.,Adrenalin tutkunu gezginler Japonya'ya vardı.,Adrenalin tutkunu gezginler Japonya'ya yönelmedi.,Adrenalin tutkunu gezginler Japonya'ya varmadı.,"Adrenalin tutkunu gezginler Japonya'ya yöneldi, hatta vardı.","Adrenalin tutkunu gezginler Japonya'ya yöneldi, belki de vardı.",Adrenalin tutkunu gezginler Japonya'ya yöneldi ama varmadı.,"Adrenalin tutkunu gezginler Japonya'ya varmadı, hatta yönelmedi bile.","Adrenalin tutkunu gezginler Japonya'ya varmadı, belki yönelmedi bile.",Adrenalin tutkunu gezginler Japonya'ya varmadı ama yöneldi.
yönelmek-varmak,Halk ucuz restorana yöneldi.,Halk ucuz restorana vardı.,Halk ucuz restorana yönelmedi.,Halk ucuz restorana varmadı.,"Halk ucuz restorana yöneldi, hatta vardı.","Halk ucuz restorana yöneldi, belki de vardı.",Halk ucuz restorana yöneldi ama varmadı.,"Halk ucuz restorana varmadı, hatta yönelmedi bile.","Halk ucuz restorana varmadı, belki yönelmedi bile.",Halk ucuz restorana varmadı ama yöneldi.
yönelmek-varmak,Otobüsten inenler metroya yönelmiş.,Otobüsten inenler metroya varmış.,Otobüsten inenler metroya yönelmemiş.,Otobüsten inenler metroya varmamış.,"Otobüsten inenler metroya yönelmiş, hatta varmış.","Otobüsten inenler metroya yönelmiş, belki de varmış.",Otobüsten inenler metroya yönelmiş ama varmamış.,"Otobüsten inenler metroya varmamış, hatta yönelmemiş bile.","Otobüsten inenler metroya varmamış, belki yönelmemiş bile.",Otobüsten inenler metroya varmamış ama yönelmiş.
yönelmek-varmak,Aslan yavaşça avına yöneldi.,Aslan yavaşça avına vardı.,Aslan yavaşça avına yönelmedi.,Aslan yavaşça avına varmadı.,"Aslan yavaşça avına yöneldi, hatta vardı.","Aslan yavaşça avına yöneldi, belki de vardı.",Aslan yavaşça avına yöneldi ama varmadı.,"Aslan yavaşça avına varmadı, hatta yönelmedi bile.","Aslan yavaşça avına varmadı, belki yönelmedi bile.",Aslan yavaşça avına varmadı ama yöneldi.
yönelmek-varmak,Martılar atılan simitlere yöneldi.,Martılar atılan simitlere vardı.,Martılar atılan simitlere yönelmedi.,Martılar atılan simitlere varmadı.,"Martılar atılan simitlere yöneldi, hatta vardı.","Martılar atılan simitlere yöneldi, belki de vardı.",Martılar atılan simitlere yöneldi ama varmadı.,"Martılar atılan simitlere varmadı, hatta yönelmedi bile.","Martılar atılan simitlere varmadı, belki yönelmedi bile.",Martılar atılan simitlere varmadı ama yöneldi.
yönelmek-varmak,Son haberler ile Fransa'ya yönelindi.,Son haberler ile Fransa'ya varıldı.,Son haberler ile Fransa'ya yönelinmedi.,Son haberler ile Fransa'ya varılmadı.,"Son haberler ile Fransa'ya yönelindi, hatta varıldı.","Son haberler ile Fransa'ya yönelindi, belki de varıldı.",Son haberler ile Fransa'ya yönelindi ama varılmadı.,"Son haberler ile Fransa'ya varılmadı, hatta yönelinmedi bile.","Son haberler ile Fransa'ya varılmadı, belki yönelinmedi bile.",Son haberler ile Fransa'ya varılmadı ama yönelindi.
yönelmek-varmak,Köydeki kadınlar eve yöneldi.,Köydeki kadınlar eve vardı.,Köydeki kadınlar eve yönelmedi.,Köydeki kadınlar eve varmadı.,"Köydeki kadınlar eve yöneldi, hatta vardı.","Köydeki kadınlar eve yöneldi, belki de vardı.",Köydeki kadınlar eve yöneldi ama varmadı.,"Köydeki kadınlar eve varmadı, hatta yönelmedi bile.","Köydeki kadınlar eve varmadı, belki yönelmedi bile.",Köydeki kadınlar eve varmadı ama yöneldi.
yönelmek-varmak,Fransız grup havaalanına yöneldi.,Fransız grup havaalanına vardı.,Fransız grup havaalanına yönelmedi.,Fransız grup havaalanına varmadı.,"Fransız grup havaalanına yöneldi, hatta vardı.","Fransız grup havaalanına yöneldi, belki de vardı.",Fransız grup havaalanına yöneldi ama varmadı.,"Fransız grup havaalanına varmadı, hatta yönelmedi bile.","Fransız grup havaalanına varmadı, belki yönelmedi bile.",Fransız grup havaalanına varmadı ama yöneldi.
yönelmek-varmak,Elif torbalarla beraber mağazaya yöneldi.,Elif torbalarla beraber mağazaya vardı.,Elif torbalarla beraber mağazaya yönelmedi.,Elif torbalarla beraber mağazaya varmadı.,"Elif torbalarla beraber mağazaya yöneldi, hatta vardı.","Elif torbalarla beraber mağazaya yöneldi, belki de vardı.",Elif torbalarla beraber mağazaya yöneldi ama varmadı.,"Elif torbalarla beraber mağazaya varmadı, hatta yönelmedi bile.","Elif torbalarla beraber mağazaya varmadı, belki yönelmedi bile.",Elif torbalarla beraber mağazaya varmadı ama yöneldi.
yönelmek-varmak,Atlar çiftliklerine yöneldi.,Atlar çiftliklerine vardı.,Atlar çiftliklerine yönelmedi.,Atlar çiftliklerine varmadı.,"Atlar çiftliklerine yöneldi, hatta vardı.","Atlar çiftliklerine yöneldi, belki de vardı.",Atlar çiftliklerine yöneldi ama varmadı.,"Atlar çiftliklerine varmadı, hatta yönelmedi bile.","Atlar çiftliklerine varmadı, belki yönelmedi bile.",Atlar çiftliklerine varmadı ama yöneldi.
yönelmek-varmak,Fırınları taşıyan kamyonet yeni eve yöneldi.,Fırınları taşıyan kamyonet yeni eve vardı.,Fırınları taşıyan kamyonet yeni eve yönelmedi.,Fırınları taşıyan kamyonet yeni eve varmadı.,"Fırınları taşıyan kamyonet yeni eve yöneldi, hatta vardı.","Fırınları taşıyan kamyonet yeni eve yöneldi, belki de vardı.",Fırınları taşıyan kamyonet yeni eve yöneldi ama varmadı.,"Fırınları taşıyan kamyonet yeni eve varmadı, hatta yönelmedi bile.","Fırınları taşıyan kamyonet yeni eve varmadı, belki yönelmedi bile.",Fırınları taşıyan kamyonet yeni eve varmadı ama yöneldi.
yönelmek-varmak,Pusulanın gösterdiği konuma yöneldi.,Pusulanın gösterdiği konuma vardı.,Pusulanın gösterdiği konuma yönelmedi.,Pusulanın gösterdiği konuma varmadı.,"Pusulanın gösterdiği konuma yöneldi, hatta vardı.","Pusulanın gösterdiği konuma yöneldi, belki de vardı.",Pusulanın gösterdiği konuma yöneldi ama varmadı.,"Pusulanın gösterdiği konuma varmadı, hatta yönelmedi bile.","Pusulanın gösterdiği konuma varmadı, belki yönelmedi bile.",Pusulanın gösterdiği konuma varmadı ama yöneldi.
yönelmek-varmak,Şarj cihazını unuttuğu kafeye yöneldi.,Şarj cihazını unuttuğu kafeye vardı.,Şarj cihazını unuttuğu kafeye yönelmedi.,Şarj cihazını unuttuğu kafeye varmadı.,"Şarj cihazını unuttuğu kafeye yöneldi, hatta vardı.","Şarj cihazını unuttuğu kafeye yöneldi, belki de vardı.",Şarj cihazını unuttuğu kafeye yöneldi ama varmadı.,"Şarj cihazını unuttuğu kafeye varmadı, hatta yönelmedi bile.","Şarj cihazını unuttuğu kafeye varmadı, belki yönelmedi bile.",Şarj cihazını unuttuğu kafeye varmadı ama yöneldi.
yönelmek-varmak,Tornavida satan mağazaya yöneldi.,Tornavida satan mağazaya vardı.,Tornavida satan mağazaya yönelmedi.,Tornavida satan mağazaya varmadı.,"Tornavida satan mağazaya yöneldi, hatta vardı.","Tornavida satan mağazaya yöneldi, belki de vardı.",Tornavida satan mağazaya yöneldi ama varmadı.,"Tornavida satan mağazaya varmadı, hatta yönelmedi bile.","Tornavida satan mağazaya varmadı, belki yönelmedi bile.",Tornavida satan mağazaya varmadı ama yöneldi.
yönelmek-varmak,Zımpara kağıdı üreten fabrikaya yöneldik.,Zımpara kağıdı üreten fabrikaya vardık.,Zımpara kağıdı üreten fabrikaya yönelmedik.,Zımpara kağıdı üreten fabrikaya varmadık.,"Zımpara kağıdı üreten fabrikaya yöneldik, hatta vardık.","Zımpara kağıdı üreten fabrikaya yöneldik, belki de vardık.",Zımpara kağıdı üreten fabrikaya yöneldik ama varmadık.,"Zımpara kağıdı üreten fabrikaya varmadık, hatta yönelmedik bile.","Zımpara kağıdı üreten fabrikaya varmadık, belki yönelmedik bile.",Zımpara kağıdı üreten fabrikaya varmadık ama yöneldik.
yönelmek-varmak,Nefret ettiğiniz işyerine yöneldiniz.,Nefret ettiğiniz işyerine vardınız.,Nefret ettiğiniz işyerine yönelmediniz.,Nefret ettiğiniz işyerine varmadınız.,"Nefret ettiğiniz işyerine yöneldiniz, hatta vardınız.","Nefret ettiğiniz işyerine yöneldiniz, belki de vardınız.",Nefret ettiğiniz işyerine yöneldiniz ama varmadınız.,"Nefret ettiğiniz işyerine varmadınız, hatta yönelmediniz bile.","Nefret ettiğiniz işyerine varmadınız, belki yönelmediniz bile.",Nefret ettiğiniz işyerine varmadınız ama yöneldiniz.
yönelmek-varmak,Şaşırmış bir şekilde evlerine yönelmişler.,Şaşırmış bir şekilde evlerine varmışlar.,Şaşırmış bir şekilde evlerine yönelmemişler.,Şaşırmış bir şekilde evlerine varmamışlar.,"Şaşırmış bir şekilde evlerine yönelmişler, hatta varmışlar.","Şaşırmış bir şekilde evlerine yönelmişler, belki de varmışlar.",Şaşırmış bir şekilde evlerine yönelmişler ama varmamışlar.,"Şaşırmış bir şekilde evlerine varmamışlar, hatta yönelmemişler bile.","Şaşırmış bir şekilde evlerine varmamışlar, belki yönelmemişler bile.",Şaşırmış bir şekilde evlerine varmamışlar ama yönelmişler.
yönelmek-varmak,Duman tüten bacaya yönelmiştik.,Duman tüten bacaya varmıştık.,Duman tüten bacaya yönelmemiştik.,Duman tüten bacaya varmamıştık.,"Duman tüten bacaya yönelmiştik, hatta varmıştık.","Duman tüten bacaya yönelmiştik, belki de varmıştık.",Duman tüten bacaya yönelmiştik ama varmamıştık.,"Duman tüten bacaya varmamıştık, hatta yönelmemiştik bile.","Duman tüten bacaya varmamıştık, belki yönelmemiştik bile.",Duman tüten bacaya varmamıştık ama yönelmiştik.
yönelmek-varmak,Benzin kokusuna yönelmiştiler.,Benzin kokusuna varmışlardı.,Benzin kokusuna yönelmemişlerdi.,Benzin kokusuna varmamışlardı.,"Benzin kokusuna yönelmişlerdi, hatta varmışlardı.","Benzin kokusuna yönelmişlerdi, belki de varmışlardı.",Benzin kokusuna yönelmişlerdi ama varmamışlardı.,"Benzin kokusuna varmamışlardı, hatta yönelmemişlerdi bile.","Benzin kokusuna varmamışlardı, belki yönelmemişlerdi bile.",Benzin kokusuna varmamışlardı ama yönelmişlerdi.
yönelmek-varmak,Denizin dalgalı olduğu kısma yönelmişler.,Denizin dalgalı olduğu kısma varmışlar.,Denizin dalgalı olduğu kısma yönelmemişler.,Denizin dalgalı olduğu kısma varmamışlar.,"Denizin dalgalı olduğu kısma yönelmişler, hatta varmışlar.","Denizin dalgalı olduğu kısma yönelmişler, belki de varmışlar.",Denizin dalgalı olduğu kısma yönelmişler ama varmamışlar.,"Denizin dalgalı olduğu kısma varmamışlar, hatta yönelmemişler bile.","Denizin dalgalı olduğu kısma varmamışlar, belki yönelmemişler bile.",Denizin dalgalı olduğu kısma varmamışlar ama yönelmişler.
yönelmek-varmak,Ekipler barajın çatladığı noktaya yönelmiş.,Ekipler barajın çatladığı noktaya varmış.,Ekipler barajın çatladığı noktaya yönelmemiş.,Ekipler barajın çatladığı noktaya varmamış.,"Ekipler barajın çatladığı noktaya yönelmiş, hatta varmış.","Ekipler barajın çatladığı noktaya yönelmiş, belki de varmış.",Ekipler barajın çatladığı noktaya yönelmiş ama varmamış.,"Ekipler barajın çatladığı noktaya varmamış, hatta yönelmemiş bile.","Ekipler barajın çatladığı noktaya varmamış, belki yönelmemiş bile.",Ekipler barajın çatladığı noktaya varmamış ama yönelmiş.
yönelmek-varmak,Mutluluk elde etme umuduyla okula Zehra okula yönelmişti.,Mutluluk elde etme umuduyla okula Zehra okula varmıştı.,Mutluluk elde etme umuduyla okula Zehra okula yönelmemişti.,Mutluluk elde etme umuduyla okula Zehra okula varmamıştı.,"Mutluluk elde etme umuduyla okula Zehra okula yönelmişti, hatta varmıştı.","Mutluluk elde etme umuduyla okula Zehra okula yönelmişti, belki de varmıştı.",Mutluluk elde etme umuduyla okula Zehra okula yönelmişti ama varmamıştı.,"Mutluluk elde etme umuduyla okula Zehra okula varmamıştı, hatta yönelmemişti bile.","Mutluluk elde etme umuduyla okula Zehra okula varmamıştı, belki yönelmemişti bile.",Mutluluk elde etme umuduyla okula Zehra okula varmamıştı ama yöneldi.
yönelmek-varmak,Aşçılar tuzlu yemeğin piştiği odaya yöneldi.,Aşçılar tuzlu yemeğin piştiği odaya vardı.,Aşçılar tuzlu yemeğin piştiği odaya yönelmedi.,Aşçılar tuzlu yemeğin piştiği odaya varmadı.,"Aşçılar tuzlu yemeğin piştiği odaya yöneldi, hatta vardı.","Aşçılar tuzlu yemeğin piştiği odaya yöneldi, belki de vardı.",Aşçılar tuzlu yemeğin piştiği odaya yöneldi ama varmadı.,"Aşçılar tuzlu yemeğin piştiği odaya varmadı, hatta yönelmedi bile.","Aşçılar tuzlu yemeğin piştiği odaya varmadı, belki yönelmedi bile.",Aşçılar tuzlu yemeğin piştiği odaya varmadı ama yöneldi.
yönelmek-varmak,Arabalar ucuz benzin satılan istasyona yöneldiler.,Arabalar ucuz benzin satılan istasyona vardılar.,Arabalar ucuz benzin satılan istasyona yönelmediler.,Arabalar ucuz benzin satılan istasyona varmadılar.,"Arabalar ucuz benzin satılan istasyona yöneldiler, hatta vardılar.","Arabalar ucuz benzin satılan istasyona yöneldiler, belki de vardılar.",Arabalar ucuz benzin satılan istasyona yöneldiler ama varmadılar.,"Arabalar ucuz benzin satılan istasyona varmadılar, hatta yönelmediler bile.","Arabalar ucuz benzin satılan istasyona varmadılar, belki yönelmediler bile.",Arabalar ucuz benzin satılan istasyona varmadılar ama yöneldiler.
yönelmek-varmak,Yorgun şairin evine yönelindi.,Yorgun şairin evine varıldı.,Yorgun şairin evine yönelinmedi.,Yorgun şairin evine varılmadı.,"Yorgun şairin evine yönelindi, hatta varıldı.","Yorgun şairin evine yönelindi, belki de varıldı.",Yorgun şairin evine yönelindi ama varılmadı.,"Yorgun şairin evine varılmadı, hatta yönelinmedi bile.","Yorgun şairin evine varılmadı, belki yönelinmedi bile.",Yorgun şairin evine varılmadı ama yönelindi.
yönelmek-varmak,Gül bahçesine yakın olan otele yöneldik.,Gül bahçesine yakın olan otele vardık.,Gül bahçesine yakın olan otele yönelmedik.,Gül bahçesine yakın olan otele varmadık.,"Gül bahçesine yakın olan otele yöneldik, hatta vardık.","Gül bahçesine yakın olan otele yöneldik, belki de vardık.",Gül bahçesine yakın olan otele yöneldik ama varmadık.,"Gül bahçesine yakın olan otele varmadık, hatta yönelmedik bile.","Gül bahçesine yakın olan otele varmadık, belki yönelmedik bile.",Gül bahçesine yakın olan otele varmadık ama yöneldik.
yönelmek-varmak,Gemiler limana yöneldi.,Gemiler limana vardı.,Gemiler limana yönelmedi.,Gemiler limana varmadı.,"Gemiler limana yöneldi, hatta vardı.","Gemiler limana yöneldi, belki de vardı.",Gemiler limana yöneldi ama varmadı.,"Gemiler limana varmadı, hatta yönelmedi bile.","Gemiler limana varmadı, belki yönelmedi bile.",Gemiler limana varmadı ama yöneldi.
yönelmek-varmak,Orman koruma ekipleri fidanlığa yöneldi.,Orman koruma ekipleri fidanlığa vardı.,Orman koruma ekipleri fidanlığa yönelmedi.,Orman koruma ekipleri fidanlığa varmadı.,"Orman koruma ekipleri fidanlığa yöneldi, hatta vardı.","Orman koruma ekipleri fidanlığa yöneldi, belki de vardı.",Orman koruma ekipleri fidanlığa yöneldi ama varmadı.,"Orman koruma ekipleri fidanlığa varmadı, hatta yönelmedi bile.","Orman koruma ekipleri fidanlığa varmadı, belki yönelmedi bile.",Orman koruma ekipleri fidanlığa varmadı ama yöneldi.
yönelmek-varmak,Çimen kokusuna yöneldik.,Çimen kokusuna vardık.,Çimen kokusuna yönelmedik.,Çimen kokusuna varmadık.,"Çimen kokusuna yöneldik, hatta vardık.","Çimen kokusuna yöneldik, belki de vardık.",Çimen kokusuna yöneldik ama varmadık.,"Çimen kokusuna varmadık, hatta yönelmedik bile.","Çimen kokusuna varmadık, belki yönelmedik bile.",Çimen kokusuna varmadık ama yöneldik.
yönelmek-varmak,Heykellerin olduğu bölüme yönelmiştiniz.,Heykellerin olduğu bölüme varmıştınız.,Heykellerin olduğu bölüme yönelmemiştiniz.,Heykellerin olduğu bölüme varmamıştınız.,"Heykellerin olduğu bölüme yönelmiştiniz, hatta varmıştınız.","Heykellerin olduğu bölüme yönelmiştiniz, belki de varmıştınız.",Heykellerin olduğu bölüme yönelmiştiniz ama varmamıştınız.,"Heykellerin olduğu bölüme varmamıştınız, hatta yönelmemiştiniz bile.","Heykellerin olduğu bölüme varmamıştınız, belki yönelmemiştiniz bile.",Heykellerin olduğu bölüme varmamıştınız ama yönelmiştiniz.
yönelmek-varmak,Dostları onun ameliyat olacağı hastaneye yöneldi.,Dostları onun ameliyat olacağı hastaneye vardı.,Dostları onun ameliyat olacağı hastaneye yönelmedi.,Dostları onun ameliyat olacağı hastaneye varmadı.,"Dostları onun ameliyat olacağı hastaneye yöneldi, hatta vardı.","Dostları onun ameliyat olacağı hastaneye yöneldi, belki de vardı.",Dostları onun ameliyat olacağı hastaneye yöneldi ama varmadı.,"Dostları onun ameliyat olacağı hastaneye varmadı, hatta yönelmedi bile.","Dostları onun ameliyat olacağı hastaneye varmadı, belki yönelmedi bile.",Dostları onun ameliyat olacağı hastaneye varmadı ama yöneldi.
yönelmek-varmak,Kahve kokusunun geldiği salona yönelmiştin.,Kahve kokusunun geldiği salona vardın.,Kahve kokusunun geldiği salona yönelmedin.,Kahve kokusunun geldiği salona varmadın.,"Kahve kokusunun geldiği salona yönelmiştin, hatta vardın.","Kahve kokusunun geldiği salona yönelmiştin, belki de vardın.",Kahve kokusunun geldiği salona yönelmiştin ama varmadın.,"Kahve kokusunun geldiği salona varmadın, hatta yönelmedin bile.","Kahve kokusunun geldiği salona varmadın, belki yönelmedin bile.",Kahve kokusunun geldiği salona varmadın ama yöneldin.
yönelmek-varmak,Deri mont imal edilen atölyeye yöneldiler.,Deri mont imal edilen atölyeye vardılar.,Deri mont imal edilen atölyeye yönelmediler.,Deri mont imal edilen atölyeye varmadılar.,"Deri mont imal edilen atölyeye yöneldiler, hatta vardılar.","Deri mont imal edilen atölyeye yöneldiler, belki de vardılar.",Deri mont imal edilen atölyeye yöneldiler ama varmadılar.,"Deri mont imal edilen atölyeye varmadılar, hatta yönelmediler bile.","Deri mont imal edilen atölyeye varmadılar, belki yönelmediler bile.",Deri mont imal edilen atölyeye varmadılar ama yöneldiler.
yönelmek-varmak,Fikret köpeğinin peşinden eve yönelmiş.,Fikret köpeğinin peşinden eve varmış.,Fikret köpeğinin peşinden eve yönelmemiş.,Fikret köpeğinin peşinden eve varmamış.,"Fikret köpeğinin peşinden eve yönelmiş, hatta varmış.","Fikret köpeğinin peşinden eve yönelmiş, belki de varmış.",Fikret köpeğinin peşinden eve yönelmiş ama varmamış.,"Fikret köpeğinin peşinden eve varmamış, hatta yönelmemiş bile.","Fikret köpeğinin peşinden eve varmamış, belki yönelmemiş bile.",Fikret köpeğinin peşinden eve varmamış ama yönelmiş.
