scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
a few-all,We had seen a few ships.,We had seen all ships.,We had seen no ship.,We had not seen all ships.,"We had seen a few ships, actually we had seen all ships.","We had seen a few ships, maybe we had seen all ships.",We had seen a few ships but we had not seen all ships.,"We had not seen all ships, we had not even seen a few ships.","We had not seen all ships, maybe we had not even seen a few ships.",We had not seen all ships but we had seen a few ships.
a few-all,We had the opportunity to visit a few cities.,We had the opportunity to visit all cities.,We had no opportunity to visit any city.,We did not have the opportunity to visit all cities.,"We had the opportunity to visit a few cities, actually we had the opportunity to visit all cities.","We had the opportunity to visit a few cities, maybe we had the opportunity to visit all cities.",We had the opportunity to visit a few cities but we did not have the opportunity to visit all cities.,"We did not have the opportunity to visit all cities, we did not even have the opportunity to visit a few cities.","We did not have the opportunity to visit all cities, maybe we did not even have the opportunity to visit a few cities.",We did not have the opportunity to visit all cities but we had the opportunity to visit a few cities.
a few-all,I helped a few people.,I helped all people.,I did not help anyone.,I did not help all people.,"I helped a few people, actually I helped all people.","I helped a few people, maybe I helped all people.",I helped a few people but I did not help all people.,"I did not help all people, I did not even help a few people.","I did not help all people, maybe I did not even help a few people.",I did not help all people but I helped a few people.
a few-all,A few of the columns passed the test.,All of the columns passed the test.,None of the columns passed the test.,All of the columns did not pass the test.,"A few of the columns passed the test, actually all of them passed the test.","A few of the columns passed the test, maybe all of them passed the test.",A few of the columns passed the test but all of them did not pass the test.,"All of the columns did not pass the test, not even a few of them passed the test.","All of the columns did not pass the test, maybe not even a few of them passed the test.",All of the columns did not pass the test but a few of them passed the test.
a few-all,Akif read a few books.,Akif read all books.,Akif did not read any book.,Akif did not read all books.,"Akif read a few books, actually he read all books.","Akif read a few books, maybe he read all books.",Akif read a few books but he did not read all books.,"Akif did not read all books, he did not even read a few books.","Akif did not read all books, maybe he did not even read a few books.",Akif did not read all books but he read a few books.
a few-all,A few of the keys are broken.,All of the keys are broken.,None of the keys are broken.,All of the keys are not broken.,"A few of the keys are broken, actually all of them are broken.","A few of the keys are broken, maybe all of them are broken.",A few of the keys are broken but all of them are not broken.,"All of the keys are not broken, not even a few of them are broken.","All of the keys are not broken, maybe not even a few of them are broken.",All of the keys are not broken but a few of them are broken.
a few-all,A few players are injured.,All players are injured.,No player is injured.,All players are not injured.,"A few players are injured, actually all players are injured.","A few players are injured, maybe all players are injured.",A few players are injured but all players are not injured.,"All players are not injured, not even a few players are injured.","All players are not injured, maybe not even a few players are injured.",All players are not injured but a few players are injured.
a few-all,A few parts were missing.,All parts were missing.,No part was missing.,All parts were not missing.,"A few parts were missing, actually all parts were missing.","A few parts were missing, maybe all parts were missing.",A few parts were missing but all parts were not missing.,"All parts were not missing, not even a few parts were missing.","All parts were not missing, maybe not even a few parts were missing.",All parts were not missing but a few parts were missing.
a few-all,A few of my friends attended the award ceremony.,All of my friends attended the award ceremony.,None of my friends attended the award ceremony.,All of my friends did not attend the award ceremony.,"A few of my friends attended the award ceremony, actually all of my friends attended the award ceremony.","A few of my friends attended the award ceremony, maybe all of my friends attended the award ceremony.",A few of my friends attended the award ceremony but all of my friends did not attend the award ceremony.,"All of my friends did not attend the award ceremony, not even a few of my friends attended the award ceremony.","All of my friends did not attend the award ceremony, maybe not even a few of my friends attended the award ceremony.",All of my friends did not attend the award ceremony but a few of my friends attended the award ceremony.
a few-all,There has been flooding in a few cities where it rained.,There has been flooding in all cities where it rained.,There has been no flooding in any city where it rained.,There has been no flooding in all cities where it rained.,"There has been flooding in a few cities where it rained, actually there has been flooding in all cities where it rained.","There has been flooding in a few cities where it rained, maybe there has been flooding in all cities where it rained.",There has been flooding in a few cities where it rained but there has been no flooding in all cities where it rained.,"There has been no flooding in all cities where it rained, there has not even been flooding in a few cities where it rained.","There has been no flooding in all cities where it rained, maybe there has not even been flooding in a few cities where it rained.",There has been no flooding in all cities where it rained but there has been flooding in a few cities where it rained.
a few-all,He has sold a few houses.,He has sold all his houses.,He hasn't sold any of his houses.,He hasn't sold all his houses.,"He has sold a few houses, in fact all his houses.","He has sold a few houses, maybe all his houses.",He has sold a few houses but he hasn't sold all his houses.,"He hasn't sold all his houses, in fact, he hasn't sold even a few houses.","He hasn't sold all his houses, maybe he hasn't sold even a few houses.","He hasn't sold all his houses, but he has sold a few houses."
a few-all,A few of the workers will come tomorrow.,All the workers will come tomorrow.,None of the workers will come tomorrow.,All the workers will not come tomorrow.,"A few of the workers will come tomorrow, in fact all of them will come tomorrow.","A few of the workers will come tomorrow, maybe all of them will come tomorrow.","A few of the workers will come tomorrow, but all of them will not come tomorrow.","All the workers will not come tomorrow, in fact, even a few of them will not come tomorrow.","All the workers will not come tomorrow, maybe even a few of them will not come tomorrow.","All the workers will not come tomorrow, but a few of them will come tomorrow."
a few-all,Take a few fruits out of the refrigerator.,Take all the fruits out of the refrigerator.,Don't take any fruit out of the refrigerator.,Don't take all the fruits out of the refrigerator.,"Take a few fruits out of the refrigerator, in fact, take all the fruits out of the refrigerator.","Take a few fruits out of the refrigerator, maybe take all the fruits out of the refrigerator.",Take a few fruits out of the refrigerator but don't take all the fruits out of the refrigerator.,"Don't take all the fruits out of the refrigerator, don't even take a few fruits out of the refrigerator.","Don't take all the fruits out of the refrigerator, maybe don't even take a few fruits out of the refrigerator.",Don't take all the fruits out of the refrigerator but take a few fruits out of the refrigerator.
a few-all,A few currencies have melted against the dollar.,All currencies have melted against the dollar.,No currency has melted against the dollar.,All currencies have not melted against the dollar.,"A few currencies have melted against the dollar, in fact, all currencies have melted.","A few currencies have melted against the dollar, maybe all currencies have melted.","A few currencies have melted against the dollar, but all currencies have not melted.","All currencies have not melted against the dollar, in fact, even a few currencies have not melted.","All currencies have not melted against the dollar, maybe even a few currencies have not melted.","All currencies have not melted against the dollar, but a few currencies have melted."
a few-all,A few of the corners are crooked.,All the corners are crooked.,None of the corners are crooked.,All the corners are not crooked.,"A few of the corners are crooked, in fact, all the corners are crooked.","A few of the corners are crooked, maybe all the corners are crooked.","A few of the corners are crooked, but all the corners are not crooked.","All the corners are not crooked, in fact, even a few of the corners are not crooked.","All the corners are not crooked, maybe even a few of the corners are not crooked.","All the corners are not crooked, but a few of the corners are crooked."
a few-all,I had the opportunity to see a few of the sick children.,I had the opportunity to see all the sick children.,I did not have the opportunity to see any of the sick children.,I did not have the opportunity to see all the sick children.,"I had the opportunity to see a few of the sick children, in fact, I had the opportunity to see all the sick children.","I had the opportunity to see a few of the sick children, maybe I had the opportunity to see all the sick children.","I had the opportunity to see a few of the sick children, but I did not have the opportunity to see all the sick children.","I did not have the opportunity to see all the sick children, in fact, I did not even have the opportunity to see a few of the sick children.","I did not have the opportunity to see all the sick children, maybe I did not even have the opportunity to see a few of the sick children.","I did not have the opportunity to see all the sick children, but I had the opportunity to see a few of the sick children."
a few-all,I changed a few of the broken glasses.,I changed all of the broken glasses.,I did not change any of the broken glasses.,I did not change all of the broken glasses.,"I changed a few of the broken glasses, in fact, I changed all of them.","I changed a few of the broken glasses, maybe I changed all of them.","I changed a few of the broken glasses, but I did not change all of them.","I did not change all of the broken glasses, in fact, I did not even change a few of them.","I did not change all of the broken glasses, maybe I did not even change a few of them.","I did not change all of the broken glasses, but I changed a few of them."
a few-all,The weather will be sunny a few days this week.,The weather will be sunny all week.,The weather will not be sunny any day this week.,The weather will not be sunny all week.,"The weather will be sunny a few days this week, in fact, it will be sunny all week.","The weather will be sunny a few days this week, maybe it will be sunny all week.","The weather will be sunny a few days this week, but it will not be sunny all week.","The weather will not be sunny all week, in fact, it will not be sunny even a few days.","The weather will not be sunny all week, maybe it will not be sunny even a few days.","The weather will not be sunny all week, but it will be sunny a few days."
a few-all,A few of the cyclists are slow.,All the cyclists are slow.,None of the cyclists are slow.,All the cyclists are not slow.,"A few of the cyclists are slow, in fact, all the cyclists are slow.","A few of the cyclists are slow, maybe all the cyclists are slow.","A few of the cyclists are slow, but all the cyclists are not slow.","All the cyclists are not slow, in fact, even a few of the cyclists are not slow.","All the cyclists are not slow, maybe even a few of the cyclists are not slow.","All the cyclists are not slow, but a few of the cyclists are slow."
a few-all,This book is in a few libraries in this city.,This book is in all the libraries in this city.,This book is not in any library in this city.,This book is not in all the libraries in this city.,"This book is in a few libraries in this city, in fact, it is in all the libraries.","This book is in a few libraries in this city, maybe it is in all the libraries.","This book is in a few libraries in this city, but it is not in all the libraries.","This book is not in all the libraries in this city, in fact, it is not even in a few of them.","This book is not in all the libraries in this city, maybe it is not even in a few of them.","This book is not in all the libraries in this city, but it is in a few libraries."
a few-all,The chirping of the birds woke up a few children.,The chirping of the birds woke up all the children.,The chirping of the birds didn't wake up any children.,The chirping of the birds didn't wake up all the children.,"The chirping of the birds woke up a few children, even all the children.","The chirping of the birds woke up a few children, maybe even all the children.","The chirping of the birds woke up a few children, but it didn't wake up all the children.","The chirping of the birds didn't wake up all the children, not even a few children.","The chirping of the birds didn't wake up all the children, maybe not even a few children.","The chirping of the birds didn't wake up all the children, but it woke up a few children."
a few-all,A few students are studying.,All the students are studying.,No students are studying.,All the students are not studying.,"A few students are studying, even all the students are studying.","A few students are studying, maybe even all the students are studying.","A few students are studying, but all the students are not studying.","All the students are not studying, not even a few students are studying.","All the students are not studying, maybe not even a few students are studying.","All the students are not studying, but a few students are studying."
a few-all,A few streets will be closed tomorrow.,All streets will be closed tomorrow.,No streets will be closed tomorrow.,All streets will not be closed tomorrow.,"A few streets will be closed tomorrow, even all streets will be closed tomorrow.","A few streets will be closed tomorrow, maybe even all streets will be closed tomorrow.","A few streets will be closed tomorrow, but all streets will not be closed tomorrow.","All streets will not be closed tomorrow, not even a few streets will be closed.","All streets will not be closed tomorrow, maybe not even a few streets will be closed.","All streets will not be closed tomorrow, but a few streets will be closed."
a few-all,You have lost a few of your socks.,You have lost all your socks.,You haven't lost any of your socks.,You haven't lost all your socks.,"You have lost a few of your socks, even all your socks.","You have lost a few of your socks, maybe even all your socks.","You have lost a few of your socks, but you haven't lost all your socks.","You haven't lost all your socks, not even a few of your socks.","You haven't lost all your socks, maybe not even a few of your socks.","You haven't lost all your socks, but you have lost a few of your socks."
a few-all,I ate a few of the toasts.,I ate all the toasts.,I didn't eat any of the toasts.,I didn't eat all the toasts.,"I ate a few of the toasts, even all the toasts.","I ate a few of the toasts, maybe even all the toasts.","I ate a few of the toasts, but I didn't eat all the toasts.","I didn't eat all the toasts, not even a few of the toasts.","I didn't eat all the toasts, maybe not even a few of the toasts.","I didn't eat all the toasts, but I ate a few of the toasts."
a few-all,He painted a few of his shoes.,He painted all his shoes.,He didn't paint any of his shoes.,He didn't paint all his shoes.,"He painted a few of his shoes, even all his shoes.","He painted a few of his shoes, maybe even all his shoes.","He painted a few of his shoes, but he didn't paint all his shoes.","He didn't paint all his shoes, not even a few of his shoes.","He didn't paint all his shoes, maybe not even a few of his shoes.","He didn't paint all his shoes, but he painted a few of his shoes."
a few-all,I watered a few flowers yesterday.,I watered all the flowers yesterday.,I didn't water any flowers yesterday.,I didn't water all the flowers yesterday.,"I watered a few flowers yesterday, even all the flowers.","I watered a few flowers yesterday, maybe even all the flowers.","I watered a few flowers yesterday, but I didn't water all the flowers.","I didn't water all the flowers yesterday, not even a few flowers.","I didn't water all the flowers yesterday, maybe not even a few flowers.","I didn't water all the flowers yesterday, but I watered a few flowers."
a few-all,I washed a few of her cats today.,I washed all her cats today.,I didn't wash any of her cats today.,I didn't wash all her cats today.,"I washed a few of her cats today, even all her cats.","I washed a few of her cats today, maybe even all her cats.","I washed a few of her cats today, but I didn't wash all her cats.","I didn't wash all her cats today, not even a few of her cats.","I didn't wash all her cats today, maybe not even a few of her cats.","I didn't wash all her cats today, but I washed a few of her cats."
a few-all,You have cleaned a few of their windows.,You have cleaned all their windows.,You haven't cleaned any of their windows.,You haven't cleaned all their windows.,"You have cleaned a few of their windows, even all their windows.","You have cleaned a few of their windows, maybe even all their windows.","You have cleaned a few of their windows, but you haven't cleaned all their windows.","You haven't cleaned all their windows, not even a few of their windows.","You haven't cleaned all their windows, maybe not even a few of their windows.","You haven't cleaned all their windows, but you have cleaned a few of their windows."
a few-all,A few saplings have dried up.,All the saplings have dried up.,No saplings have dried up.,All the saplings haven't dried up.,"A few saplings have dried up, even all the saplings have dried up.","A few saplings have dried up, maybe even all the saplings have dried up.","A few saplings have dried up, but all the saplings haven't dried up.","All the saplings haven't dried up, not even a few saplings have dried up.","All the saplings haven't dried up, maybe not even a few saplings have dried up.","All the saplings haven't dried up, but a few saplings have dried up."
a few-all,A few bridges were closed.,All bridges were closed.,No bridge was closed.,All bridges were not closed.,"A few bridges were closed, even all bridges were closed.","A few bridges were closed, maybe all bridges were closed.","A few bridges were closed, but all bridges were not closed.","All bridges were not closed, even a few bridges were not closed.","All bridges were not closed, maybe even a few bridges were not closed.","All bridges were not closed, but a few bridges were closed."
a few-all,A few of the gardens were entered.,All gardens were entered.,None of the gardens were entered.,All gardens were not entered.,"A few of the gardens were entered, even all gardens were entered.","A few of the gardens were entered, maybe all gardens were entered.","A few of the gardens were entered, but all gardens were not entered.","All gardens were not entered, even a few of the gardens were not entered.","All gardens were not entered, maybe even a few of the gardens were not entered.","All gardens were not entered, but a few of the gardens were entered."
a few-all,A few of the projects were canceled.,All projects were canceled.,None of the projects were canceled.,All projects were not canceled.,"A few of the projects were canceled, even all projects were canceled.","A few of the projects were canceled, maybe all projects were canceled.","A few of the projects were canceled, but all projects were not canceled.","All projects were not canceled, even a few of the projects were not canceled.","All projects were not canceled, maybe even a few of the projects were not canceled.","All projects were not canceled, but a few of the projects were canceled."
a few-all,A few branches of the tree have bird nests.,All branches of the tree have bird nests.,No branch of the tree has a bird nest.,All branches of the tree do not have bird nests.,"A few branches of the tree have bird nests, even all branches of the tree have bird nests.","A few branches of the tree have bird nests, maybe all branches of the tree have bird nests.","A few branches of the tree have bird nests, but all branches of the tree do not have bird nests.","All branches of the tree do not have bird nests, even a few branches do not have bird nests.","All branches of the tree do not have bird nests, maybe even a few branches do not have bird nests.","All branches of the tree do not have bird nests, but a few branches of the tree have bird nests."
a few-all,A few of the crying children are my cousin.,All of the crying children are my cousin.,None of the crying children are my cousin.,All of the crying children are not my cousin.,"A few of the crying children are my cousin, even all of them are my cousin.","A few of the crying children are my cousin, maybe all of them are my cousin.","A few of the crying children are my cousin, but all of them are not my cousin.","All of the crying children are not my cousin, even a few of them are not my cousin.","All of the crying children are not my cousin, maybe even a few of them are not my cousin.","All of the crying children are not my cousin, but a few of them are my cousin."
a few-all,They visited a few neighborhoods of our city.,They visited all neighborhoods of our city.,They didn't visit any neighborhood of our city.,They didn't visit all neighborhoods of our city.,"They visited a few neighborhoods of our city, even all neighborhoods.","They visited a few neighborhoods of our city, maybe all neighborhoods.","They visited a few neighborhoods of our city, but they didn't visit all neighborhoods.","They didn't visit all neighborhoods of our city, even a few neighborhoods.","They didn't visit all neighborhoods of our city, maybe even a few neighborhoods.","They didn't visit all neighborhoods of our city, but they visited a few neighborhoods."
a few-all,A few of the houses in the forest will be demolished.,All houses in the forest will be demolished.,None of the houses in the forest will be demolished.,All houses in the forest will not be demolished.,"A few of the houses in the forest will be demolished, even all houses will be demolished.","A few of the houses in the forest will be demolished, maybe all houses will be demolished.","A few of the houses in the forest will be demolished, but all houses will not be demolished.","All houses in the forest will not be demolished, even a few of the houses will not be demolished.","All houses in the forest will not be demolished, maybe even a few of the houses will not be demolished.","All houses in the forest will not be demolished, but a few of the houses will be demolished."
a few-all,They stole a few of the store manager's cars.,They stole all of the store manager's cars.,They didn't steal any of the store manager's cars.,They didn't steal all of the store manager's cars.,"They stole a few of the store manager's cars, even all of his cars.","They stole a few of the store manager's cars, maybe all of his cars.","They stole a few of the store manager's cars, but they didn't steal all of his cars.","They didn't steal all of the store manager's cars, even a few of his cars.","They didn't steal all of the store manager's cars, maybe even a few of his cars.","They didn't steal all of the store manager's cars, but they stole a few of his cars."
a few-all,A few villagers joined us.,All villagers joined us.,No villager joined us.,All villagers did not join us.,"A few villagers joined us, even all villagers joined us.","A few villagers joined us, maybe all villagers joined us.","A few villagers joined us, but all villagers did not join us.","All villagers did not join us, even a few villagers did not join us.","All villagers did not join us, maybe even a few villagers did not join us.","All villagers did not join us, but a few villagers joined us."
a few-all,We saw a few of our neighbor's relatives.,We saw all of our neighbor's relatives.,We didn't see any of our neighbor's relatives.,We didn't see all of our neighbor's relatives.,"We saw a few of our neighbor's relatives, even all of his relatives.","We saw a few of our neighbor's relatives, maybe all of his relatives.","We saw a few of our neighbor's relatives, but we didn't see all of his relatives.","We didn't see all of our neighbor's relatives, even a few of his relatives.","We didn't see all of our neighbor's relatives, maybe even a few of his relatives.","We didn't see all of our neighbor's relatives, but we saw a few of his relatives. "
a few-all,A few students made an effort to succeed.,All students made an effort to succeed.,No students made an effort to succeed.,All students did not make an effort to succeed.,"A few students made an effort to succeed, even all students made an effort to succeed.","A few students made an effort to succeed, perhaps all students made an effort to succeed.",A few students made an effort to succeed but all students did not make an effort to succeed.,"All students did not make an effort to succeed, even a few students did not make an effort to succeed.","All students did not make an effort to succeed, perhaps a few students did not make an effort to succeed.",All students did not make an effort to succeed but a few students made an effort to succeed.
a few-all,A few friends will attend his birthday.,All friends will attend his birthday.,No friends will attend his birthday.,All friends will not attend his birthday.,"A few friends will attend his birthday, even all friends will attend his birthday.","A few friends will attend his birthday, perhaps all friends will attend his birthday.",A few friends will attend his birthday but all friends will not attend his birthday.,"All friends will not attend his birthday, even a few friends will not attend his birthday.","All friends will not attend his birthday, perhaps a few friends will not attend his birthday.",All friends will not attend his birthday but a few friends will attend his birthday.
a few-all,We reviewed a few hotels for the summer vacation.,We reviewed all hotels for the summer vacation.,We did not review any hotels for the summer vacation.,We did not review all hotels for the summer vacation.,"We reviewed a few hotels for the summer vacation, even all hotels for the summer vacation.","We reviewed a few hotels for the summer vacation, perhaps all hotels for the summer vacation.",We reviewed a few hotels for the summer vacation but we did not review all hotels for the summer vacation.,"We did not review all hotels for the summer vacation, even a few hotels for the summer vacation.","We did not review all hotels for the summer vacation, perhaps a few hotels for the summer vacation.",We did not review all hotels for the summer vacation but we reviewed a few hotels for the summer vacation.
a few-all,A few students were going to dust the bookcase.,All students were going to dust the bookcase.,No students were going to dust the bookcase.,All students were not going to dust the bookcase.,"A few students were going to dust the bookcase, even all students were going to dust the bookcase.","A few students were going to dust the bookcase, perhaps all students were going to dust the bookcase.",A few students were going to dust the bookcase but all students were not going to dust the bookcase.,"All students were not going to dust the bookcase, even a few students were not going to dust the bookcase.","All students were not going to dust the bookcase, perhaps a few students were not going to dust the bookcase.",All students were not going to dust the bookcase but a few students were going to dust the bookcase.
a few-all,They beat up a few neighbors of the florist.,They beat up all neighbors of the florist.,They did not beat up any neighbors of the florist.,They did not beat up all neighbors of the florist.,"They beat up a few neighbors of the florist, even all neighbors of the florist.","They beat up a few neighbors of the florist, perhaps all neighbors of the florist.",They beat up a few neighbors of the florist but they did not beat up all neighbors of the florist.,"They did not beat up all neighbors of the florist, even a few neighbors of the florist.","They did not beat up all neighbors of the florist, perhaps a few neighbors of the florist.",They did not beat up all neighbors of the florist but they beat up a few neighbors of the florist.
a few-all,A few friends will come to the gym.,All friends will come to the gym.,No friends will come to the gym.,All friends will not come to the gym.,"A few friends will come to the gym, even all friends will come to the gym.","A few friends will come to the gym, perhaps all friends will come to the gym.",A few friends will come to the gym but all friends will not come to the gym.,"All friends will not come to the gym, even a few friends will not come to the gym.","All friends will not come to the gym, perhaps a few friends will not come to the gym.",All friends will not come to the gym but a few friends will come to the gym.
a few-all,A few family members will attend the hearing.,All family members will attend the hearing.,No family members will attend the hearing.,All family members will not attend the hearing.,"A few family members will attend the hearing, even all family members will attend the hearing.","A few family members will attend the hearing, perhaps all family members will attend the hearing.",A few family members will attend the hearing but all family members will not attend the hearing.,"All family members will not attend the hearing, even a few family members will not attend the hearing.","All family members will not attend the hearing, perhaps a few family members will not attend the hearing.",All family members will not attend the hearing but a few family members will attend the hearing.
a few-all,A few students came to the conference hall.,All students came to the conference hall.,No students came to the conference hall.,All students did not come to the conference hall.,"A few students came to the conference hall, even all students came to the conference hall.","A few students came to the conference hall, perhaps all students came to the conference hall.",A few students came to the conference hall but all students did not come to the conference hall.,"All students did not come to the conference hall, even a few students did not come to the conference hall.","All students did not come to the conference hall, perhaps a few students did not come to the conference hall.",All students did not come to the conference hall but a few students came to the conference hall.
a few-all,We tried a few products on the menu.,We tried all products on the menu.,We did not try any products on the menu.,We did not try all products on the menu.,"We tried a few products on the menu, even all products on the menu.","We tried a few products on the menu, perhaps all products on the menu.",We tried a few products on the menu but we did not try all products on the menu.,"We did not try all products on the menu, even a few products on the menu.","We did not try all products on the menu, perhaps a few products on the menu.",We did not try all products on the menu but we tried a few products on the menu.
a few-all,The cook brushed off a few waiters.,The cook brushed off all waiters.,The cook did not brush off any waiters.,The cook did not brush off all waiters.,"The cook brushed off a few waiters, even all waiters.","The cook brushed off a few waiters, perhaps all waiters.",The cook brushed off a few waiters but the cook did not brush off all waiters.,"The cook did not brush off all waiters, even a few waiters.","The cook did not brush off all waiters, perhaps a few waiters.",The cook did not brush off all waiters but the cook brushed off a few waiters.
a few-all,Elif put a few balls back in place.,Elif put all the balls back in place.,Elif didn't put any of the balls back in place.,Elif didn't put all the balls back in place.,"Elif put a few balls back in place, in fact all of them.","Elif put a few balls back in place, maybe all of them.","Elif put a few balls back in place, but not all of them.","Elif didn't put all the balls back in place, not even a few.","Elif didn't put all the balls back in place, maybe not even a few.","Elif didn't put all the balls back in place, but she did put a few."
a few-all,A few players were on the golf course.,All the players were on the golf course.,None of the players were on the golf course.,All the players were not on the golf course.,"A few players were on the golf course, in fact all of them were.","A few players were on the golf course, maybe all of them were.","A few players were on the golf course, but not all of them were.","All the players were not on the golf course, not even a few.","All the players were not on the golf course, maybe not even a few.","All the players were not on the golf course, but a few were."
a few-all,A few of the shoemaker's shoes are old.,All of the shoemaker's shoes are old.,None of the shoemaker's shoes are old.,All of the shoemaker's shoes are not old.,"A few of the shoemaker's shoes are old, in fact all of them are.","A few of the shoemaker's shoes are old, maybe all of them are.","A few of the shoemaker's shoes are old, but not all of them are.","All of the shoemaker's shoes are not old, not even a few.","All of the shoemaker's shoes are not old, maybe not even a few.","All of the shoemaker's shoes are not old, but a few are."
a few-all,The store employees dropped a few shirts.,The store employees dropped all the shirts.,The store employees didn't drop any shirts.,The store employees didn't drop all the shirts.,"The store employees dropped a few shirts, in fact all of them.","The store employees dropped a few shirts, maybe all of them.","The store employees dropped a few shirts, but not all of them.","The store employees didn't drop all the shirts, not even a few.","The store employees didn't drop all the shirts, maybe not even a few.","The store employees didn't drop all the shirts, but they did drop a few."
a few-all,A few tours went to the waterfall.,All tours went to the waterfall.,No tours went to the waterfall.,All tours didn't go to the waterfall.,"A few tours went to the waterfall, in fact all of them.","A few tours went to the waterfall, maybe all of them.","A few tours went to the waterfall, but not all of them.","All tours didn't go to the waterfall, not even a few.","All tours didn't go to the waterfall, maybe not even a few.","All tours didn't go to the waterfall, but a few did."
a few-all,On our trip we will visit a few cities in France.,On our trip we will visit all the cities in France.,On our trip we will not visit any cities in France.,On our trip we will not visit all the cities in France.,"On our trip we will visit a few cities in France, in fact all of them.","On our trip we will visit a few cities in France, maybe all of them.","On our trip we will visit a few cities in France, but not all of them.","On our trip we will not visit all the cities in France, not even a few.","On our trip we will not visit all the cities in France, maybe not even a few.","On our trip we will not visit all the cities in France, but we will visit a few."
