scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
approach-arrive ,He approached the cafe where he forgot his charger.,He arrived at the cafe where he forgot his charger.,He did not approach the cafe where he forgot his charger.,He did not arrive at the cafe where he forgot his charger.,"He approached the cafe where he forgot his charger, even arrived.","He approached the cafe where he forgot his charger, maybe even arrived.",He approached the cafe where he forgot his charger but did not arrive.,"He did not arrive at the cafe where he forgot his charger, he did not even approach.","He did not arrive at the cafe where he forgot his charger, maybe he did not even approach.",He did not arrive at the cafe where he forgot his charger but he approached.
approach-arrive ,He approached the store that sells screwdrivers.,He arrived at the store that sells screwdrivers.,He did not approach the store that sells screwdrivers.,He did not arrive at the store that sells screwdrivers.,"He approached the store that sells screwdrivers, even arrived.","He approached the store that sells screwdrivers, maybe even arrived.",He approached the store that sells screwdrivers but did not arrive.,"He did not arrive at the store that sells screwdrivers, he did not even approach.","He did not arrive at the store that sells screwdrivers, maybe he did not even approach.",He did not arrive at the store that sells screwdrivers but he approached.
approach-arrive ,We approached the factory that produces sandpaper.,We arrived at the factory that produces sandpaper.,We did not approach the factory that produces sandpaper.,We did not arrive at the factory that produces sandpaper.,"We approached the factory that produces sandpaper, even arrived.","We approached the factory that produces sandpaper, maybe even arrived.",We approached the factory that produces sandpaper but did not arrive.,"We did not arrive at the factory that produces sandpaper, we did not even approach.","We did not arrive at the factory that produces sandpaper, maybe we did not even approach.",We did not arrive at the factory that produces sandpaper but we approached.
approach-arrive ,You approached the workplace you hate.,You arrived at the workplace you hate.,You did not approach the workplace you hate.,You did not arrive at the workplace you hate.,"You approached the workplace you hate, even arrived.","You approached the workplace you hate, maybe even arrived.",You approached the workplace you hate but did not arrive.,"You did not arrive at the workplace you hate, you did not even approach.","You did not arrive at the workplace you hate, maybe you did not even approach.",You did not arrive at the workplace you hate but you approached.
approach-arrive ,They approached their houses in a bewildered manner.,They arrived at their houses in a bewildered manner.,They did not approach their houses in a bewildered manner.,They did not arrive at their houses in a bewildered manner.,"They approached their houses in a bewildered manner, and even arrived.","They approached their houses in a bewildered manner, maybe they even arrived.","They approached their houses in a bewildered manner, but did not arrive.","They did not arrive at their houses in a bewildered manner, and did not even approach.","They did not arrive at their houses in a bewildered manner, maybe they did not even approach.","They did not arrive at their houses in a bewildered manner, but they approached."
approach-arrive ,We approached the chimney smoking.,We arrived at the chimney smoking.,We did not approach the chimney smoking.,We did not arrive at the chimney smoking.,"We approached the chimney smoking, and even arrived.","We approached the chimney smoking, maybe we even arrived.","We approached the chimney smoking, but did not arrive.","We did not arrive at the chimney smoking, and did not even approach.","We did not arrive at the chimney smoking, maybe we did not even approach.","We did not arrive at the chimney smoking, but we approached."
approach-arrive ,They approached the smell of gasoline.,They arrived at the smell of gasoline.,They did not approach the smell of gasoline.,They did not arrive at the smell of gasoline.,"They approached the smell of gasoline, and even arrived.","They approached the smell of gasoline, maybe they even arrived.","They approached the smell of gasoline, but did not arrive.","They did not arrive at the smell of gasoline, and did not even approach.","They did not arrive at the smell of gasoline, maybe they did not even approach.","They did not arrive at the smell of gasoline, but they approached."
approach-arrive ,They approached the wavy part of the sea.,They arrived at the wavy part of the sea.,They did not approach the wavy part of the sea.,They did not arrive at the wavy part of the sea.,"They approached the wavy part of the sea, and even arrived.","They approached the wavy part of the sea, maybe they even arrived.","They approached the wavy part of the sea, but did not arrive.","They did not arrive at the wavy part of the sea, and did not even approach.","They did not arrive at the wavy part of the sea, maybe they did not even approach.","They did not arrive at the wavy part of the sea, but they approached."
approach-arrive ,The teams approached the point where the dam cracked.,The teams arrived at the point where the dam cracked.,The teams did not approach the point where the dam cracked.,The teams did not arrive at the point where the dam cracked.,"The teams approached the point where the dam cracked, and even arrived.","The teams approached the point where the dam cracked, maybe they even arrived.","The teams approached the point where the dam cracked, but did not arrive.","The teams did not arrive at the point where the dam cracked, and did not even approach.","The teams did not arrive at the point where the dam cracked, maybe they did not even approach.","The teams did not arrive at the point where the dam cracked, but they approached."
approach-arrive ,Zehra approached the school with the hope of achieving happiness.,Zehra arrived at the school with the hope of achieving happiness.,Zehra did not approach the school with the hope of achieving happiness.,Zehra did not arrive at the school with the hope of achieving happiness.,"Zehra approached the school with the hope of achieving happiness, and even arrived.","Zehra approached the school with the hope of achieving happiness, maybe she even arrived.","Zehra approached the school with the hope of achieving happiness, but did not arrive.","Zehra did not arrive at the school with the hope of achieving happiness, and did not even approach.","Zehra did not arrive at the school with the hope of achieving happiness, maybe she did not even approach.","Zehra did not arrive at the school with the hope of achieving happiness, but she approached."
approach-arrive ,The chefs approached the room where the salty food was cooked.,The chefs arrived at the room where the salty food was cooked.,The chefs did not approach the room where the salty food was cooked.,The chefs did not arrive at the room where the salty food was cooked.,"The chefs approached the room where the salty food was cooked, and even arrived.","The chefs approached the room where the salty food was cooked, maybe they even arrived.","The chefs approached the room where the salty food was cooked, but did not arrive.","The chefs did not arrive at the room where the salty food was cooked, and did not even approach.","The chefs did not arrive at the room where the salty food was cooked, maybe they did not even approach.","The chefs did not arrive at the room where the salty food was cooked, but they approached."
approach-arrive ,The cars approached the station where cheap gasoline was sold.,The cars arrived at the station where cheap gasoline was sold.,The cars did not approach the station where cheap gasoline was sold.,The cars did not arrive at the station where cheap gasoline was sold.,"The cars approached the station where cheap gasoline was sold, and even arrived.","The cars approached the station where cheap gasoline was sold, maybe they even arrived.","The cars approached the station where cheap gasoline was sold, but did not arrive.","The cars did not arrive at the station where cheap gasoline was sold, and did not even approach.","The cars did not arrive at the station where cheap gasoline was sold, maybe they did not even approach.","The cars did not arrive at the station where cheap gasoline was sold, but they approached."
approach-arrive ,The tired poet's house was approached.,The tired poet's house was arrived at.,The tired poet's house was not approached.,The tired poet's house was not arrived at.,"The tired poet's house was approached, and even arrived at.","The tired poet's house was approached, maybe it was even arrived at.","The tired poet's house was approached, but not arrived at.","The tired poet's house was not arrived at, and not even approached.","The tired poet's house was not arrived at, maybe it was not even approached.","The tired poet's house was not arrived at, but it was approached."
approach-arrive ,We approached the hotel near the rose garden.,We arrived at the hotel near the rose garden.,We did not approach the hotel near the rose garden.,We did not arrive at the hotel near the rose garden.,"We approached the hotel near the rose garden, and even arrived.","We approached the hotel near the rose garden, maybe we even arrived.","We approached the hotel near the rose garden, but did not arrive.","We did not arrive at the hotel near the rose garden, and did not even approach.","We did not arrive at the hotel near the rose garden, maybe we did not even approach.","We did not arrive at the hotel near the rose garden, but we approached."
approach-arrive ,The ships approached the port.,The ships arrived at the port.,The ships did not approach the port.,The ships did not arrive at the port.,"The ships approached the port, and even arrived.","The ships approached the port, and perhaps arrived.",The ships approached the port but did not arrive.,"The ships did not arrive at the port, and did not even approach.","The ships did not arrive at the port, and perhaps did not even approach.","The ships did not arrive at the port, but approached."
approach-arrive ,Forest protection teams approached the nursery.,Forest protection teams arrived at the nursery.,Forest protection teams did not approach the nursery.,Forest protection teams did not arrive at the nursery.,"Forest protection teams approached the nursery, and even arrived.","Forest protection teams approached the nursery, and perhaps arrived.","Forest protection teams approached the nursery, but did not arrive.","Forest protection teams did not arrive at the nursery, and did not even approach.","Forest protection teams did not arrive at the nursery, and perhaps did not even approach.","Forest protection teams did not arrive at the nursery, but approached."
approach-arrive ,We approached the smell of grass.,We arrived at the smell of grass.,We did not approach the smell of grass.,We did not arrive at the smell of grass.,"We approached the smell of grass, and even arrived.","We approached the smell of grass, and perhaps arrived.","We approached the smell of grass, but did not arrive.","We did not arrive at the smell of grass, and did not even approach.","We did not arrive at the smell of grass, and perhaps did not even approach.","We did not arrive at the smell of grass, but approached."
approach-arrive ,You approached the section where the statues are.,You arrived at the section where the statues are.,You did not approach the section where the statues are.,You did not arrive at the section where the statues are.,"You approached the section where the statues are, and even arrived.","You approached the section where the statues are, and perhaps arrived.","You approached the section where the statues are, but did not arrive.","You did not arrive at the section where the statues are, and did not even approach.","You did not arrive at the section where the statues are, and perhaps did not even approach.","You did not arrive at the section where the statues are, but approached."
approach-arrive ,His friends approached the hospital where he would have surgery.,His friends arrived at the hospital where he would have surgery.,His friends did not approach the hospital where he would have surgery.,His friends did not arrive at the hospital where he would have surgery.,"His friends approached the hospital where he would have surgery, and even arrived.","His friends approached the hospital where he would have surgery, and perhaps arrived.","His friends approached the hospital where he would have surgery, but did not arrive.","His friends did not arrive at the hospital where he would have surgery, and did not even approach.","His friends did not arrive at the hospital where he would have surgery, and perhaps did not even approach.","His friends did not arrive at the hospital where he would have surgery, but approached."
approach-arrive ,You approached the living room where the smell of coffee came from.,You arrived at the living room where the smell of coffee came from.,You did not approach the living room where the smell of coffee came from.,You did not arrive at the living room where the smell of coffee came from.,"You approached the living room where the smell of coffee came from, and even arrived.","You approached the living room where the smell of coffee came from, and perhaps arrived.","You approached the living room where the smell of coffee came from, but did not arrive.","You did not arrive at the living room where the smell of coffee came from, and did not even approach.","You did not arrive at the living room where the smell of coffee came from, and perhaps did not even approach.","You did not arrive at the living room where the smell of coffee came from, but approached."
approach-arrive ,They approached the workshop where leather jackets were manufactured.,They arrived at the workshop where leather jackets were manufactured.,They did not approach the workshop where leather jackets were manufactured.,They did not arrive at the workshop where leather jackets were manufactured.,"They approached the workshop where leather jackets were manufactured, and even arrived.","They approached the workshop where leather jackets were manufactured, and perhaps arrived.","They approached the workshop where leather jackets were manufactured, but did not arrive.","They did not arrive at the workshop where leather jackets were manufactured, and did not even approach.","They did not arrive at the workshop where leather jackets were manufactured, and perhaps did not even approach.","They did not arrive at the workshop where leather jackets were manufactured, but approached."
approach-arrive ,Fikret approached the house after his dog.,Fikret arrived at the house after his dog.,Fikret did not approach the house after his dog.,Fikret did not arrive at the house after his dog.,"Fikret approached the house after his dog, and even arrived.","Fikret approached the house after his dog, and perhaps arrived.","Fikret approached the house after his dog, but did not arrive.","Fikret did not arrive at the house after his dog, and did not even approach.","Fikret did not arrive at the house after his dog, and perhaps did not even approach.","Fikret did not arrive at the house after his dog, but approached."
approach-arrive ,The bored patients approached the garden.,The bored patients arrived at the garden.,The bored patients did not approach the garden.,The bored patients did not arrive at the garden.,"The bored patients approached the garden, and even arrived.","The bored patients approached the garden, and perhaps arrived.","The bored patients approached the garden, but did not arrive.","The bored patients did not arrive at the garden, and did not even approach.","The bored patients did not arrive at the garden, and perhaps did not even approach.","The bored patients did not arrive at the garden, but approached."
approach-arrive ,He approached the hardware store where he bought the paintbrush.,He arrived at the hardware store where he bought the paintbrush.,He did not approach the hardware store where he bought the paintbrush.,He did not arrive at the hardware store where he bought the paintbrush.,"He approached the hardware store where he bought the paintbrush, and even arrived.","He approached the hardware store where he bought the paintbrush, and perhaps arrived.","He approached the hardware store where he bought the paintbrush, but did not arrive.","He did not arrive at the hardware store where he bought the paintbrush, and did not even approach.","He did not arrive at the hardware store where he bought the paintbrush, and perhaps did not even approach.","He did not arrive at the hardware store where he bought the paintbrush, but approached."
attempt-succeed ,He attempted to run on the long track.,He succeeded in running on the long track.,He didn't attempt to run on the long track.,He didn't succeed in running on the long track.,"He attempted to run on the long track, in fact, he succeeded.","He attempted to run on the long track, maybe he succeeded.",He attempted to run on the long track but didn't succeed.,"He didn't succeed in running on the long track, in fact, he didn't even attempt.","He didn't succeed in running on the long track, maybe he didn't even attempt.",He didn't succeed in running on the long track but he attempted.
attempt-succeed ,He attempted to pass the chemistry class.,He succeeded in passing the chemistry class.,He didn't attempt to pass the chemistry class.,He didn't succeed in passing the chemistry class.,"He attempted to pass the chemistry class, in fact, he succeeded.","He attempted to pass the chemistry class, maybe he succeeded.",He attempted to pass the chemistry class but didn't succeed.,"He didn't succeed in passing the chemistry class, in fact, he didn't even attempt.","He didn't succeed in passing the chemistry class, maybe he didn't even attempt.",He didn't succeed in passing the chemistry class but he attempted.
attempt-succeed ,He had attempted to stand up for his friends.,He had succeeded in standing up for his friends.,He hadn't attempted to stand up for his friends.,He hadn't succeeded in standing up for his friends.,"He had attempted to stand up for his friends, in fact, he had succeeded.","He had attempted to stand up for his friends, maybe he had succeeded.",He had attempted to stand up for his friends but he hadn't succeeded.,"He hadn't succeeded in standing up for his friends, in fact, he hadn't even attempted.","He hadn't succeeded in standing up for his friends, maybe he hadn't even attempted.",He hadn't succeeded in standing up for his friends but he had attempted.
attempt-succeed ,We attempted to achieve victory in the last war we entered.,We succeeded in achieving victory in the last war we entered.,We didn't attempt to achieve victory in the last war we entered.,We didn't succeed in achieving victory in the last war we entered.,"We attempted to achieve victory in the last war we entered, in fact, we succeeded.","We attempted to achieve victory in the last war we entered, maybe we succeeded.","We attempted to achieve victory in the last war we entered, but we didn't succeed.","We didn't succeed in achieving victory in the last war we entered, in fact, we didn't even attempt.","We didn't succeed in achieving victory in the last war we entered, maybe we didn't even attempt.","We didn't succeed in achieving victory in the last war we entered, but we attempted."
attempt-succeed ,You attempted to start the day energetically.,You succeeded in starting the day energetically.,You didn't attempt to start the day energetically.,You didn't succeed in starting the day energetically.,"You attempted to start the day energetically, in fact, you succeeded.","You attempted to start the day energetically, maybe you succeeded.","You attempted to start the day energetically, but you didn't succeed.","You didn't succeed in starting the day energetically, in fact, you didn't even attempt.","You didn't succeed in starting the day energetically, maybe you didn't even attempt.","You didn't succeed in starting the day energetically, but you attempted."
attempt-succeed ,You attempted to repair the sandals in a short time.,You succeeded in repairing the sandals in a short time.,You didn't attempt to repair the sandals in a short time.,You didn't succeed in repairing the sandals in a short time.,"You attempted to repair the sandals in a short time, in fact, you succeeded.","You attempted to repair the sandals in a short time, maybe you succeeded.","You attempted to repair the sandals in a short time, but you didn't succeed.","You didn't succeed in repairing the sandals in a short time, in fact, you didn't even attempt.","You didn't succeed in repairing the sandals in a short time, maybe you didn't even attempt.","You didn't succeed in repairing the sandals in a short time, but you attempted."
attempt-succeed ,We attempted to save the trees from the diseases they caught.,We succeeded in saving the trees from the diseases they caught.,We didn't attempt to save the trees from the diseases they caught.,We didn't succeed in saving the trees from the diseases they caught.,"We attempted to save the trees from the diseases they caught, in fact, we succeeded.","We attempted to save the trees from the diseases they caught, maybe we succeeded.","We attempted to save the trees from the diseases they caught, but we didn't succeed.","We didn't succeed in saving the trees from the diseases they caught, in fact, we didn't even attempt.","We didn't succeed in saving the trees from the diseases they caught, maybe we didn't even attempt.","We didn't succeed in saving the trees from the diseases they caught, but we attempted."
attempt-succeed ,You attempted to learn a new language.,You succeeded in learning a new language.,You didn't attempt to learn a new language.,You didn't succeed in learning a new language.,"You attempted to learn a new language, in fact, you succeeded.","You attempted to learn a new language, maybe you succeeded.","You attempted to learn a new language, but you didn't succeed.","You didn't succeed in learning a new language, in fact, you didn't even attempt.","You didn't succeed in learning a new language, maybe you didn't even attempt.","You didn't succeed in learning a new language, but you attempted."
attempt-succeed ,You attempted not to judge people.,You succeeded in not judging people.,You didn't attempt not to judge people.,You didn't succeed in not judging people.,"You attempted not to judge people, in fact, you succeeded.","You attempted not to judge people, maybe you succeeded.","You attempted not to judge people, but you didn't succeed.","You didn't succeed in not judging people, in fact, you didn't even attempt.","You didn't succeed in not judging people, maybe you didn't even attempt.","You didn't succeed in not judging people, but you attempted."
attempt-succeed ,You had attempted to go to Nigeria quickly.,You had succeeded in going to Nigeria quickly.,You hadn't attempted to go to Nigeria quickly.,You hadn't succeeded in going to Nigeria quickly.,"You had attempted to go to Nigeria quickly, in fact, you had succeeded.","You had attempted to go to Nigeria quickly, maybe you had succeeded.","You had attempted to go to Nigeria quickly, but you hadn't succeeded.","You hadn't succeeded in going to Nigeria quickly, in fact, you hadn't even attempted.","You hadn't succeeded in going to Nigeria quickly, maybe you hadn't even attempted.","You hadn't succeeded in going to Nigeria quickly, but you had attempted."
attempt-succeed ,They attempted to board the plane first.,They succeeded in boarding the plane first.,They did not attempt to board the plane first.,They did not succeed in boarding the plane first.,"They attempted to board the plane first, in fact they succeeded.","They attempted to board the plane first, maybe they succeeded.","They attempted to board the plane first, but they did not succeed.","They did not succeed in boarding the plane first, they did not even attempt to.","They did not succeed in boarding the plane first, maybe they did not even attempt to.","They did not succeed in boarding the plane first, but they attempted to."
