scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
two-three,There were two horses on the farm.,There were three horses on the farm.,There were no two horses on the farm.,There were no three horses on the farm.,There were no more than two horses on the farm.,"There were two horses on the farm, even three horses.","There were two horses on the farm, maybe even three horses.","There were two horses on the farm, but not three horses.","There were no three horses on the farm, not even two horses.","There were no three horses on the farm, maybe not even two horses.","There were no three horses on the farm, but there were two horses.",There were fewer than two horses on the farm.,There was at most one horse on the farm.,There was at least one horse on the farm.
two-three,Our house had two deeds.,Our house had three deeds.,Our house didn't have two deeds.,Our house didn't have three deeds.,Our house didn't have more than two deeds.,"Our house had two deeds, even three deeds.","Our house had two deeds, maybe even three deeds.","Our house had two deeds, but not three deeds.","Our house didn't have three deeds, not even two deeds.","Our house didn't have three deeds, maybe not even two deeds.","Our house didn't have three deeds, but it had two deeds.",Our house had fewer than two deeds.,Our house had at most one deed.,Our house had at least one deed.
two-three,I have two liras in my pocket.,I have three liras in my pocket.,I have no two liras in my pocket.,I have no three liras in my pocket.,I have no more than two liras in my pocket.,"I have two liras in my pocket, even three liras.","I have two liras in my pocket, maybe even three liras.","I have two liras in my pocket, but not three liras.","I have no three liras in my pocket, not even two liras.","I have no three liras in my pocket, maybe not even two liras.","I have no three liras in my pocket, but I have two liras.",I have fewer than two liras in my pocket.,I have at most one lira in my pocket.,I have at least one lira in my pocket.
two-three,The heating system has two radiators.,The heating system has three radiators.,The heating system has no two radiators.,The heating system has no three radiators.,The heating system has no more than two radiators.,"The heating system has two radiators, even three radiators.","The heating system has two radiators, maybe even three radiators.","The heating system has two radiators, but not three radiators.","The heating system has no three radiators, not even two radiators.","The heating system has no three radiators, maybe not even two radiators.","The heating system has no three radiators, but it has two radiators.",The heating system has fewer than two radiators.,The heating system has at most one radiator.,The heating system has at least one radiator.
two-three,The fountains have two spouts.,The fountains have three spouts.,The fountains do not have two spouts.,The fountains do not have three spouts.,The fountains do not have more than two spouts.,"The fountains have two spouts, even three spouts.","The fountains have two spouts, maybe even three spouts.","The fountains have two spouts, but not three spouts.","The fountains do not have three spouts, not even two spouts.","The fountains do not have three spouts, maybe not even two spouts.","The fountains do not have three spouts, but they have two spouts.",The fountains have fewer than two spouts.,The fountains have at most one spout.,The fountains have at least one spout.
two-three,My watch has two straps.,My watch has three straps.,My watch doesn't have two straps.,My watch doesn't have three straps.,My watch doesn't have more than two straps.,"My watch has two straps, even three straps.","My watch has two straps, maybe even three straps.","My watch has two straps, but not three straps.","My watch doesn't have three straps, not even two straps.","My watch doesn't have three straps, maybe not even two straps.","My watch doesn't have three straps, but it has two straps.",My watch has fewer than two straps.,My watch has at most one strap.,My watch has at least one strap.
two-three,My car has two ignitions.,My car has three ignitions.,My car doesn't have two ignitions.,My car doesn't have three ignitions.,My car doesn't have more than two ignitions.,"My car has two ignitions, even three ignitions.","My car has two ignitions, maybe even three ignitions.","My car has two ignitions, but not three ignitions.","My car doesn't have three ignitions, not even two ignitions.","My car doesn't have three ignitions, maybe not even two ignitions.","My car doesn't have three ignitions, but it has two ignitions.",My car has fewer than two ignitions.,My car has at most one ignition.,My car has at least one ignition.
two-three,He read two books in the library.,He read three books in the library.,He didn't read two books in the library.,He didn't read three books in the library.,He didn't read more than two books in the library.,"He read two books in the library, even three books.","He read two books in the library, maybe even three books.","He read two books in the library, but he didn't read three books.","He didn't read three books in the library, he didn't even read two books.","He didn't read three books in the library, maybe he didn't even read two books.","He didn't read three books in the library, but he read two books.",He read fewer than two books in the library.,He read at most one book in the library.,He read at least one book in the library.
two-three,He listened to two songs from the album.,He listened to three songs from the album.,He didn't listen to two songs from the album.,He didn't listen to three songs from the album.,He didn't listen to more than two songs from the album.,"He listened to two songs from the album, even three songs.","He listened to two songs from the album, maybe even three songs.","He listened to two songs from the album, but he didn't listen to three songs.","He didn't listen to three songs from the album, he didn't even listen to two songs.","He didn't listen to three songs from the album, maybe he didn't even listen to two songs.","He didn't listen to three songs from the album, but he listened to two songs.",He listened to fewer than two songs from the album.,He listened to at most one song from the album.,He listened to at least one song from the album.
two-three,Two men came to our house.,Three men came to our house.,Two men didn't come to our house.,Three men didn't come to our house.,More than two men didn't come to our house.,"Two men came to our house, even three men came to our house.","Two men came to our house, maybe even three men came to our house.","Two men came to our house, but three men didn't come to our house.","Three men didn't come to our house, even two men didn't come to our house.","Three men didn't come to our house, maybe even two men didn't come to our house.","Three men didn't come to our house, but two men came to our house.",Fewer than two men came to our house.,At most one man came to our house.,At least one man came to our house.
two-three,Two players from the team are injured.,Three players from the team are injured.,Two players from the team are not injured.,Three players from the team are not injured.,More than two players from the team are not injured.,"Two players from the team are injured, even three players are injured.","Two players from the team are injured, maybe even three players are injured.","Two players from the team are injured, but three players are not injured.","Three players from the team are not injured, even two players are not injured.","Three players from the team are not injured, maybe even two players are not injured.","Three players from the team are not injured, but two players are injured.",Fewer than two players from the team are injured.,At most one player from the team is injured.,At least one player from the team is injured.
two-three,There were two pumps at the gas station.,There were three pumps at the gas station.,There weren't two pumps at the gas station.,There weren't three pumps at the gas station.,There weren't more than two pumps at the gas station.,"There were two pumps at the gas station, even three pumps.","There were two pumps at the gas station, maybe even three pumps.","There were two pumps at the gas station, but there weren't three pumps.","There weren't three pumps at the gas station, there weren't even two pumps.","There weren't three pumps at the gas station, maybe there weren't even two pumps.","There weren't three pumps at the gas station, but there were two pumps.",There were fewer than two pumps at the gas station.,There was at most one pump at the gas station.,There was at least one pump at the gas station.
two-three,There were two churches in the village.,There were three churches in the village.,There weren't two churches in the village.,There weren't three churches in the village.,There weren't more than two churches in the village.,"There were two churches in the village, even three churches.","There were two churches in the village, maybe even three churches.","There were two churches in the village, but there weren't three churches.","There weren't three churches in the village, there weren't even two churches.","There weren't three churches in the village, maybe there weren't even two churches.","There weren't three churches in the village, but there were two churches.",There were fewer than two churches in the village.,There was at most one church in the village.,There was at least one church in the village.
two-three,Two cabins collapsed on the beach.,Three cabins collapsed on the beach.,Two cabins didn't collapse on the beach.,Three cabins didn't collapse on the beach.,More than two cabins didn't collapse on the beach.,"Two cabins collapsed on the beach, even three cabins collapsed.","Two cabins collapsed on the beach, maybe even three cabins collapsed.","Two cabins collapsed on the beach, but three cabins didn't collapse.","Three cabins didn't collapse on the beach, even two cabins didn't collapse.","Three cabins didn't collapse on the beach, maybe even two cabins didn't collapse.","Three cabins didn't collapse on the beach, but two cabins collapsed.",Fewer than two cabins collapsed on the beach.,At most one cabin collapsed on the beach.,At least one cabin collapsed on the beach.
two-three,The sultan had two daughters.,The sultan had three daughters.,The sultan didn't have two daughters.,The sultan didn't have three daughters.,The sultan didn't have more than two daughters.,"The sultan had two daughters, even three daughters.","The sultan had two daughters, maybe even three daughters.","The sultan had two daughters, but he didn't have three daughters.","The sultan didn't have three daughters, he didn't even have two daughters.","The sultan didn't have three daughters, maybe he didn't even have two daughters.","The sultan didn't have three daughters, but he had two daughters.",The sultan had fewer than two daughters.,The sultan had at most one daughter.,The sultan had at least one daughter.
two-three,Our plan has two legs.,Our plan has three legs.,Our plan doesn't have two legs.,Our plan doesn't have three legs.,Our plan doesn't have more than two legs.,"Our plan has two legs, even three legs.","Our plan has two legs, maybe even three legs.","Our plan has two legs, but it doesn't have three legs.","Our plan doesn't have three legs, it doesn't even have two legs.","Our plan doesn't have three legs, maybe it doesn't even have two legs.","Our plan doesn't have three legs, but it has two legs.",Our plan has fewer than two legs.,Our plan has at most one leg.,Our plan has at least one leg.
two-three,The song has two versions.,The song has three versions.,The song doesn't have two versions.,The song doesn't have three versions.,The song doesn't have more than two versions.,"The song has two versions, even three versions.","The song has two versions, maybe even three versions.","The song has two versions, but it doesn't have three versions.","The song doesn't have three versions, it doesn't even have two versions.","The song doesn't have three versions, maybe it doesn't even have two versions.","The song doesn't have three versions, but it has two versions.",The song has fewer than two versions.,The song has at most one version.,The song has at least one version.
two-three,The artist has played in two films.,The artist has played in three films.,The artist has not played in two films.,The artist has not played in three films.,The artist has not played in more than two films.,"The artist has played in two films, even three films.","The artist has played in two films, maybe even three films.","The artist has played in two films, but not three films.","The artist has not played in three films, not even two films.","The artist has not played in three films, maybe not even two films.","The artist has not played in three films, but two films.",The artist has played in less than two films.,The artist has played in at most one film.,The artist has played in at least one film.
two-three,There are two breads for breakfast.,There are three breads for breakfast.,There are not two breads for breakfast.,There are not three breads for breakfast.,There are not more than two breads for breakfast.,"There are two breads for breakfast, even three breads.","There are two breads for breakfast, maybe even three breads.","There are two breads for breakfast, but not three breads.","There are not three breads for breakfast, not even two breads.","There are not three breads for breakfast, maybe not even two breads.","There are not three breads for breakfast, but two breads.",There are less than two breads for breakfast.,There is at most one bread for breakfast.,There is at least one bread for breakfast.
two-three,We want to visit two cities.,We want to visit three cities.,We do not want to visit two cities.,We do not want to visit three cities.,We do not want to visit more than two cities.,"We want to visit two cities, even three cities.","We want to visit two cities, maybe even three cities.","We want to visit two cities, but not three cities.","We do not want to visit three cities, not even two cities.","We do not want to visit three cities, maybe not even two cities.","We do not want to visit three cities, but two cities.",We want to visit less than two cities.,We want to visit at most one city.,We want to visit at least one city.
two-three,The cities have two things in common.,The cities have three things in common.,The cities do not have two things in common.,The cities do not have three things in common.,The cities do not have more than two things in common.,"The cities have two things in common, even three things in common.","The cities have two things in common, maybe even three things in common.","The cities have two things in common, but not three things in common.","The cities do not have three things in common, not even two things in common.","The cities do not have three things in common, maybe not even two things in common.","The cities do not have three things in common, but two things in common.",The cities have less than two things in common.,The cities have at most one thing in common.,The cities have at least one thing in common.
two-three,Two students came by horizontal transfer.,Three students came by horizontal transfer.,Two students did not come by horizontal transfer.,Three students did not come by horizontal transfer.,More than two students did not come by horizontal transfer.,"Two students came by horizontal transfer, even three students came.","Two students came by horizontal transfer, maybe even three students came.","Two students came by horizontal transfer, but three students did not come.","Three students did not come by horizontal transfer, not even two students came.","Three students did not come by horizontal transfer, maybe not even two students came.","Three students did not come by horizontal transfer, but two students came.",Less than two students came by horizontal transfer.,At most one student came by horizontal transfer.,At least one student came by horizontal transfer.
two-three,The number of houses the singer bought is two.,The number of houses the singer bought is three.,The number of houses the singer bought is not two.,The number of houses the singer bought is not three.,The number of houses the singer bought is not more than two.,"The number of houses the singer bought is two, even three.","The number of houses the singer bought is two, maybe even three.","The number of houses the singer bought is two, but not three.","The number of houses the singer bought is not three, not even two.","The number of houses the singer bought is not three, maybe not even two.","The number of houses the singer bought is not three, but two.",The number of houses the singer bought is less than two.,The number of houses the singer bought is at most one.,The number of houses the singer bought is at least one.
two-three,He was following two people on his account.,He was following three people on his account.,He was not following two people on his account.,He was not following three people on his account.,He was not following more than two people on his account.,"He was following two people on his account, even three people.","He was following two people on his account, maybe even three people.","He was following two people on his account, but not three people.","He was not following three people on his account, not even two people.","He was not following three people on his account, maybe not even two people.","He was not following three people on his account, but two people.",He was following less than two people on his account.,He was following at most one person on his account.,He was following at least one person on his account.
two-three,There are two people in the new building.,There are three people in the new building.,There are not two people in the new building.,There are not three people in the new building.,There are not more than two people in the new building.,"There are two people in the new building, even three people.","There are two people in the new building, maybe even three people.","There are two people in the new building, but not three people.","There are not three people in the new building, not even two people.","There are not three people in the new building, maybe not even two people.","There are not three people in the new building, but two people.",There are less than two people in the new building.,There is at most one person in the new building.,There is at least one person in the new building.
two-three,There are two trucks on Istiklal Street.,There are three trucks on Istiklal Street.,There are not two trucks on Istiklal Street.,There are not three trucks on Istiklal Street.,There are not more than two trucks on Istiklal Street.,"There are two trucks on Istiklal Street, even three trucks.","There are two trucks on Istiklal Street, maybe even three trucks.","There are two trucks on Istiklal Street, but not three trucks.","There are not three trucks on Istiklal Street, not even two trucks.","There are not three trucks on Istiklal Street, maybe not even two trucks.","There are not three trucks on Istiklal Street, but two trucks.",There are less than two trucks on Istiklal Street.,There is at most one truck on Istiklal Street.,There is at least one truck on Istiklal Street.
two-three,Two people died this year.,Three people died this year.,Two people did not die this year.,Three people did not die this year.,More than two people did not die this year.,"Two people died this year, even three people died.","Two people died this year, maybe even three people died.","Two people died this year, but not three people.","Three people did not die this year, not even two people died.","Three people did not die this year, maybe not even two people died.","Three people did not die this year, but two people died.",Less than two people died this year.,At most one person died this year.,At least one person died this year.
three-five,There are five apples at home.,There are seven apples at home.,There are no five apples at home.,There are no seven apples at home.,There are no more than five apples at home.,"There are five apples at home, even seven apples.","There are five apples at home, maybe even seven apples.","There are five apples at home, but not seven.","There are not seven apples at home, not even five.","There are not seven apples at home, maybe not even five.","There are not seven apples at home, but there are five.",There are less than five apples at home.,There are at most four apples at home.,There is at least one apple at home.
three-five,There are five cars on the street.,There are seven cars on the street.,There are no five cars on the street.,There are no seven cars on the street.,There are no more than five cars on the street.,"There are five cars on the street, even seven.","There are five cars on the street, maybe even seven.","There are five cars on the street, but not seven.","There are not seven cars on the street, not even five.","There are not seven cars on the street, maybe not even five.","There are not seven cars on the street, but there are five.",There are less than five cars on the street.,There are at most four cars on the street.,There is at least one car on the street.
three-five,There are five customers at the gas station.,There are seven customers at the gas station.,There are no five customers at the gas station.,There are no seven customers at the gas station.,There are no more than five customers at the gas station.,"There are five customers at the gas station, even seven.","There are five customers at the gas station, maybe even seven.","There are five customers at the gas station, but not seven.","There are not seven customers at the gas station, not even five.","There are not seven customers at the gas station, maybe not even five.","There are not seven customers at the gas station, but there are five.",There are less than five customers at the gas station.,There are at most four customers at the gas station.,There is at least one customer at the gas station.
three-five,Five countries participated in the aid.,Seven countries participated in the aid.,Five countries did not participate in the aid.,Seven countries did not participate in the aid.,No more than five countries participated in the aid.,"Five countries participated in the aid, even seven.","Five countries participated in the aid, maybe even seven.","Five countries participated in the aid, but seven did not.","Seven countries did not participate in the aid, not even five.","Seven countries did not participate in the aid, maybe not even five.","Seven countries did not participate in the aid, but five did.",Less than five countries participated in the aid.,At most four countries participated in the aid.,At least one country participated in the aid.
three-five,Five vehicles passed through the bridge yesterday.,Seven vehicles passed through the bridge yesterday.,Five vehicles did not pass through the bridge yesterday.,Seven vehicles did not pass through the bridge yesterday.,No more than five vehicles passed through the bridge yesterday.,"Five vehicles passed through the bridge yesterday, even seven.","Five vehicles passed through the bridge yesterday, maybe even seven.","Five vehicles passed through the bridge yesterday, but seven did not.","Seven vehicles did not pass through the bridge yesterday, not even five.","Seven vehicles did not pass through the bridge yesterday, maybe not even five.","Seven vehicles did not pass through the bridge yesterday, but five did.",Less than five vehicles passed through the bridge yesterday.,At most four vehicles passed through the bridge yesterday.,At least one vehicle passed through the bridge yesterday.
three-five,Five weeks were needed for the preparations.,Seven weeks were needed for the preparations.,Five weeks were not needed for the preparations.,Seven weeks were not needed for the preparations.,No more than five weeks were needed for the preparations.,"Five weeks were needed for the preparations, even seven.","Five weeks were needed for the preparations, maybe even seven.","Five weeks were needed for the preparations, but not seven.","Seven weeks were not needed for the preparations, not even five.","Seven weeks were not needed for the preparations, maybe not even five.","Seven weeks were not needed for the preparations, but five were.",Less than five weeks were needed for the preparations.,At most four weeks were needed for the preparations.,At least one week was needed for the preparations.
three-five,The buses waited five hours.,The buses waited seven hours.,The buses did not wait five hours.,The buses did not wait seven hours.,The buses did not wait more than five hours.,"The buses waited five hours, even seven.","The buses waited five hours, maybe even seven.","The buses waited five hours, but not seven.","The buses did not wait seven hours, not even five.","The buses did not wait seven hours, maybe not even five.","The buses did not wait seven hours, but they waited five.",The buses waited less than five hours.,The buses waited at most four hours.,The buses waited at least one hour.
three-five,I recognized five people at the competition.,I recognized seven people at the competition.,I did not recognize five people at the competition.,I did not recognize seven people at the competition.,I did not recognize more than five people at the competition.,"I recognized five people at the competition, even seven.","I recognized five people at the competition, maybe even seven.","I recognized five people at the competition, but not seven.","I did not recognize seven people at the competition, not even five.","I did not recognize seven people at the competition, maybe not even five.","I did not recognize seven people at the competition, but I recognized five.",I recognized less than five people at the competition.,I recognized at most four people at the competition.,I recognized at least one person at the competition.
three-five,They saw five of their friends at the conference.,They saw seven of their friends at the conference.,They didn't see five of their friends at the conference.,They didn't see seven of their friends at the conference.,They didn't see more than five of their friends at the conference.,"They saw five of their friends at the conference, even seven.","They saw five of their friends at the conference, maybe even seven.","They saw five of their friends at the conference, but not seven.","They didn't see seven of their friends at the conference, not even five.","They didn't see seven of their friends at the conference, maybe not even five.","They didn't see seven of their friends at the conference, but they saw five.",They saw less than five of their friends at the conference.,They saw at most four of their friends at the conference.,They saw at least one of their friends at the conference.
