scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
similar-same ,The game you play is similar to football.  ,The game you play is the same as football.  ,The game you play is not similar to football.  ,The game you play is not the same as football.  ,"The game you play is similar to football, even the same.  ","The game you play is similar to football, maybe even the same.  ",The game you play is similar to football but not the same.  ,"The game you play is not the same as football, not even similar.  ","The game you play is not the same as football, maybe not even similar.  ",The game you play is not the same as football but similar.  
similar-same ,These two paintings are similar.  ,These two paintings are the same.  ,These two paintings are not similar.  ,These two paintings are not the same.  ,"These two paintings are similar, even the same.  ","These two paintings are similar, maybe even the same.  ",These two paintings are similar but not the same.  ,"These two paintings are not the same, not even similar.  ","These two paintings are not the same, maybe not even similar.  ",These two paintings are not the same but similar.  
similar-same ,Things discussed at the conference are similar to what we listened to in class.  ,Things discussed at the conference are the same as what we listened to in class.  ,Things discussed at the conference are not similar to what we listened to in class.  ,Things discussed at the conference are not the same as what we listened to in class.  ,"Things discussed at the conference are similar to what we listened to in class, even the same.  ","Things discussed at the conference are similar to what we listened to in class, maybe even the same.  ",Things discussed at the conference are similar to what we listened to in class but not the same.  ,"Things discussed at the conference are not the same as what we listened to in class, not even similar.  ","Things discussed at the conference are not the same as what we listened to in class, maybe not even similar.  ",Things discussed at the conference are not the same as what we listened to in class but similar.  
similar-same ,Their children's clothes are similar.,Their children's clothes are the same.,Their children's clothes are not similar.,Their children's clothes are not the same.,"Their children's clothes are similar, even the same.","Their children's clothes are similar, perhaps even the same.",Their children's clothes are similar but not the same.,"Their children's clothes are not the same, not even similar.","Their children's clothes are not the same, perhaps not even similar.",Their children's clothes are not the same but similar.
similar-same ,Your speed and my speed are similar.  ,Your speed and my speed are the same.  ,Your speed and my speed are not similar.  ,Your speed and my speed are not the same.  ,"Your speed and my speed are similar, even the same.  ","Your speed and my speed are similar, maybe even the same.  ",Your speed and my speed are similar but not the same.  ,"Your speed and my speed are not the same, not even similar.  ","Your speed and my speed are not the same, maybe not even similar.  ",Your speed and my speed are not the same but similar.  
similar-same ,The technological advancements obtained are similar.,The technological advancements obtained are the same.,The technological advancements obtained are not similar.,The technological advancements obtained are not the same.,"The technological advancements obtained are similar, even the same.","The technological advancements obtained are similar, maybe even the same.",The technological advancements obtained are similar but not the same.,"The technological advancements obtained are not the same, not even similar.","The technological advancements obtained are not the same, maybe not even similar.",The technological advancements obtained are not the same but similar.
similar-same ,The games on this console are similar.,The games on this console are the same.,The games on this console are not similar.,The games on this console are not the same.,"The games on this console are similar, even the same.","The games on this console are similar, perhaps even the same.",The games on this console are similar but not the same.,"The games on this console are not the same, not even similar.","The games on this console are not the same, maybe not even similar.",The games on this console are not the same but similar.
similar-same ,Our city structure is similar.  ,Our city structure is the same.  ,Our city structure is not similar.  ,Our city structure is not the same.  ,"Our city structure is similar, even the same.  ","Our city structure is similar, maybe even the same.  ",Our city structure is similar but not the same.  ,"Our city structure is not the same, not even similar.  ","Our city structure is not the same, maybe not even similar.  ",Our city structure is not the same but similar.  
similar-same ,The satellites of the planets we have identified are similar.,The satellites of the planets we have identified are the same.,The satellites of the planets we have identified are not similar.,The satellites of the planets we have identified are not the same.,"The satellites of the planets we have identified are similar, even the same.","The satellites of the planets we have identified are similar, perhaps even the same.",The satellites of the planets we have identified are similar but not the same.,"The satellites of the planets we have identified are not the same, not even similar.","The satellites of the planets we have identified are not the same, perhaps not even similar.",The satellites of the planets we have identified are not the same but similar.
similar-same ,The architecture of the two cities is similar.  ,The architecture of the two cities is the same.  ,The architecture of the two cities is not similar.  ,The architecture of the two cities is not the same.  ,"The architecture of the two cities is similar, even the same.  ","The architecture of the two cities is similar, perhaps even the same.  ",The architecture of the two cities is similar but not the same.  ,"The architecture of the two cities is not the same, not even similar.  ","The architecture of the two cities is not the same, perhaps not even similar.  ",The architecture of the two cities is not the same but similar.  
similar-same ,The cost of high-performance vehicles is similar.  ,The cost of high-performance vehicles is the same.  ,The cost of high-performance vehicles is not similar.  ,The cost of high-performance vehicles is not the same.  ,"The cost of high-performance vehicles is similar, even the same.  ","The cost of high-performance vehicles is similar, maybe even the same.  ",The cost of high-performance vehicles is similar but not the same.  ,"The cost of high-performance vehicles is not the same, not even similar.  ","The cost of high-performance vehicles is not the same, maybe not even similar.  ",The cost of high-performance vehicles is not the same but similar.  
similar-same ,The procedures for light equipment are similar.  ,The procedures for light equipment are the same.  ,The procedures for light equipment are not similar.  ,The procedures for light equipment are not the same.  ,"The procedures for light equipment are similar, even the same.  ","The procedures for light equipment are similar, maybe even the same.  ",The procedures for light equipment are similar but not the same.  ,"The procedures for light equipment are not the same, not even similar.  ","The procedures for light equipment are not the same, maybe not even similar.  ",The procedures for light equipment are not the same but similar.  
similar-same ,The energy consumed by low-capacity refrigerators is similar.,The energy consumed by low-capacity refrigerators is the same.,The energy consumed by low-capacity refrigerators is not similar.,The energy consumed by low-capacity refrigerators is not the same.,"The energy consumed by low-capacity refrigerators is similar, even the same.","The energy consumed by low-capacity refrigerators is similar, maybe even the same.",The energy consumed by low-capacity refrigerators is similar but not the same.,"The energy consumed by low-capacity refrigerators is not the same, not even similar.","The energy consumed by low-capacity refrigerators is not the same, maybe not even similar.",The energy consumed by low-capacity refrigerators is not the same but similar.
similar-same ,The prices of stylish and elegant suits are similar.  ,The prices of stylish and elegant suits are the same.  ,The prices of stylish and elegant suits are not similar.  ,The prices of stylish and elegant suits are not the same.  ,"The prices of stylish and elegant suits are similar, even the same.  ","The prices of stylish and elegant suits are similar, maybe even the same.  ",The prices of stylish and elegant suits are similar but not the same.  ,"The prices of stylish and elegant suits are not the same, not even similar.  ","The prices of stylish and elegant suits are not the same, maybe not even similar.  ",The prices of stylish and elegant suits are not the same but similar.  
similar-same ,The starting point of current theories is similar.  ,The starting point of current theories is the same.  ,The starting point of current theories is not similar.  ,The starting point of current theories is not the same.  ,"The starting point of current theories is similar, even the same.  ","The starting point of current theories is similar, perhaps even the same.  ",The starting point of current theories is similar but not the same.  ,"The starting point of current theories is not the same, not even similar.  ","The starting point of current theories is not the same, maybe not even similar.  ",The starting point of current theories is not the same but similar.  
similar-same ,The raw materials of the blankets are similar.,The raw materials of the blankets are the same.,The raw materials of the blankets are not similar.,The raw materials of the blankets are not the same.,"The raw materials of the blankets are similar, even the same.","The raw materials of the blankets are similar, perhaps even the same.",The raw materials of the blankets are similar but not the same.,"The raw materials of the blankets are not the same, not even similar.","The raw materials of the blankets are not the same, maybe not even similar.",The raw materials of the blankets are not the same but are similar.
similar-same ,Eco-friendly companies have similar visions.  ,Eco-friendly companies have the same visions.  ,Eco-friendly companies do not have similar visions.  ,Eco-friendly companies do not have the same visions.  ,"Eco-friendly companies have similar visions, even the same.  ","Eco-friendly companies have similar visions, perhaps even the same.  ",Eco-friendly companies have similar visions but not the same.  ,"Eco-friendly companies' visions are not the same, not even similar.  ","Eco-friendly companies' visions are not the same, perhaps not even similar.  ",Eco-friendly companies' visions are not the same but similar.  
similar-same ,The amenities of the seaside hotels are similar.  ,The amenities of the seaside hotels are the same.  ,The amenities of the seaside hotels are not similar.  ,The amenities of the seaside hotels are not the same.  ,"The amenities of the seaside hotels are similar, even the same.  ","The amenities of the seaside hotels are similar, perhaps the same.  ",The amenities of the seaside hotels are similar but not the same.  ,"The amenities of the seaside hotels are not the same, and not even similar.  ","The amenities of the seaside hotels are not the same, perhaps not even similar.  ",The amenities of the seaside hotels are not the same but similar.  
similar-same ,The quality of functional sports garments is similar.,The quality of functional sports garments is the same.,The quality of functional sports garments is not similar.,The quality of functional sports garments is not the same.,"The quality of functional sports garments is similar, even the same.","The quality of functional sports garments is similar, perhaps the same.",The quality of functional sports garments is similar but not the same.,"The quality of functional sports garments is not the same, not even similar.","The quality of functional sports garments is not the same, maybe not even similar.",The quality of functional sports garments is not the same but similar.
sufficient-complete ,The research is sufficient.,The research is complete.,The research is not sufficient.,The research is not complete.,"The research is sufficient, even complete.","The research is sufficient, perhaps even complete.",The research is sufficient but not complete.,"The research is not complete, not even sufficient.","The research is not complete, perhaps not even sufficient.",The research is not complete but sufficient.
sufficient-complete ,This much food is sufficient for this class.,This much food is complete for this class.,This much food is not sufficient for this class.,This much food is not complete for this class.,"This much food is sufficient, even complete for this class.","This much food is sufficient, perhaps even complete for this class.",This much food is sufficient but not complete for this class.,"This much food is not complete, not even sufficient for this class.","This much food is not complete, perhaps not even sufficient for this class.",This much food is not complete but sufficient for this class.
sufficient-complete ,The computer's memory is sufficient for gamers.,The computer's memory is complete for gamers.,The computer's memory is not sufficient for gamers.,The computer's memory is not complete for gamers.,"The computer's memory is sufficient, even complete for gamers.","The computer's memory is sufficient, perhaps even complete, for gamers.",The computer's memory is sufficient but not complete for gamers.,"The computer's memory is not complete, in fact, it isn't even sufficient for gamers.","The computer's memory is not complete, maybe not even sufficient for gamers.",The computer's memory is not complete but sufficient for gamers.
sufficient-complete ,The number of trees in the country is sufficient.,The number of trees in the country is complete.,The number of trees in the country is not sufficient.,The number of trees in the country is not complete.,"The number of trees in the country is sufficient, even complete.","The number of trees in the country is sufficient, perhaps even complete.",The number of trees in the country is sufficient but not complete.,"The number of trees in the country is not complete, not even sufficient.","The number of trees in the country is not complete, perhaps not even sufficient.",The number of trees in the country is not complete but it is sufficient.
sufficient-complete ,The features of the latest software are sufficient.,The features of the latest software are complete.,The features of the latest software are not sufficient.,The features of the latest software are not complete.,"The features of the latest software are sufficient, even complete.","The features of the latest software are sufficient, perhaps even complete.",The features of the latest software are sufficient but not complete.,"The features of the latest software are not complete, not even sufficient.","The features of the latest software are not complete, maybe not even sufficient.",The features of the latest software are not complete but sufficient.
sufficient-complete ,We are sufficient in terms of security cameras.  ,We are complete in terms of security cameras.  ,We are not sufficient in terms of security cameras.  ,We are not complete in terms of security cameras.  ,"We are sufficient in terms of security cameras, in fact, we are complete.  ","We are sufficient in terms of security cameras, maybe even complete.  ","We are sufficient in terms of security cameras, but not complete.  ","We are not complete in terms of security cameras, in fact, we are not even sufficient.  ","We are not complete in terms of security cameras, maybe not even sufficient.  ","We are not complete in terms of security cameras, but we are sufficient.  "
sufficient-complete ,The attacker's information is currently sufficient.,The attacker's information is currently complete.,The attacker's information is currently not sufficient.,The attacker's information is currently not complete.,"The attacker's information is currently sufficient, even complete.","The attacker's information is currently sufficient, perhaps even complete.",The attacker's information is currently sufficient but not complete.,"The attacker's information is currently not complete, even not sufficient.","The attacker's information is currently not complete, maybe not even sufficient.",The attacker's information is currently not complete but sufficient.
sufficient-complete ,This series cast is sufficient.  ,This series cast is complete.  ,This series cast is not sufficient.  ,This series cast is not complete.  ,"This series cast is sufficient, even complete.  ","This series cast is sufficient, maybe even complete.  ",This series cast is sufficient but not complete.  ,"This series cast is not complete, in fact, it's not even sufficient.  ","This series cast is not complete, maybe not even sufficient.  ",This series cast is not complete but sufficient.  
sufficient-complete ,The number of personnel for the team going to the Netherlands is sufficient.  ,The number of personnel for the team going to the Netherlands is complete.  ,The number of personnel for the team going to the Netherlands is not sufficient.  ,The number of personnel for the team going to the Netherlands is not complete.  ,"The number of personnel for the team going to the Netherlands is sufficient, even complete.  ","The number of personnel for the team going to the Netherlands is sufficient, perhaps even complete.  ",The number of personnel for the team going to the Netherlands is sufficient but not complete.  ,"The number of personnel for the team going to the Netherlands is not complete, even not sufficient.  ","The number of personnel for the team going to the Netherlands is not complete, perhaps not even sufficient.  ",The number of personnel for the team going to the Netherlands is not complete but sufficient.  
sufficient-complete ,The number of teachers last year was sufficient.  ,The number of teachers last year was complete.  ,The number of teachers last year was not sufficient.  ,The number of teachers last year was not complete.  ,"The number of teachers last year was sufficient, even complete.  ","The number of teachers last year was sufficient, perhaps even complete.  ",The number of teachers last year was sufficient but not complete.  ,"The number of teachers last year was not complete, not even sufficient.  ","The number of teachers last year was not complete, maybe not even sufficient.  ",The number of teachers last year was not complete but was sufficient.  
sufficient-complete ,The number of tailors in this city is sufficient.  ,The number of tailors in this city is complete.  ,The number of tailors in this city is not sufficient.  ,The number of tailors in this city is not complete.  ,"The number of tailors in this city is sufficient, even complete.  ","The number of tailors in this city is sufficient, maybe even complete.  ",The number of tailors in this city is sufficient but not complete.  ,"The number of tailors in this city is not complete, in fact, not even sufficient.  ","The number of tailors in this city is not complete, maybe not even sufficient.  ",The number of tailors in this city is not complete but sufficient.  
sufficient-complete ,This year's budget is sufficient.,This year's budget is complete.,This year's budget is not sufficient.,This year's budget is not complete.,"This year's budget is sufficient, even complete.","This year's budget is sufficient, perhaps even complete.",This year's budget is sufficient but not complete.,"This year's budget is not complete, in fact, it is not even sufficient.","This year's budget is not complete, maybe not even sufficient.",This year's budget is not complete but sufficient.
sufficient-complete ,The amount of blue you used in the picture is sufficient.,The amount of blue you used in the picture is complete.,The amount of blue you used in the picture is not sufficient.,The amount of blue you used in the picture is not complete.,"The amount of blue you used in the picture is sufficient, even complete.","The amount of blue you used in the picture is sufficient, perhaps even complete.",The amount of blue you used in the picture is sufficient but not complete.,"The amount of blue you used in the picture is not complete, not even sufficient.","The amount of blue you used in the picture is not complete, perhaps not even sufficient.",The amount of blue you used in the picture is not complete but is sufficient.
sufficient-complete ,The number of chairs in the living room is sufficient.,The number of chairs in the living room is complete.,The number of chairs in the living room is not sufficient.,The number of chairs in the living room is not complete.,"The number of chairs in the living room is sufficient, even complete.","The number of chairs in the living room is sufficient, maybe even complete.",The number of chairs in the living room is sufficient but not complete.,"The number of chairs in the living room is not complete, in fact, not even sufficient.","The number of chairs in the living room is not complete, maybe not even sufficient.",The number of chairs in the living room is not complete but sufficient.
sufficient-complete ,The screen brightness is currently sufficient.  ,The screen brightness is currently complete.  ,The screen brightness is currently not sufficient.  ,The screen brightness is currently not complete.  ,"The screen brightness is currently sufficient, even complete.  ","The screen brightness is currently sufficient, maybe even complete.  ",The screen brightness is currently sufficient but not complete.  ,"The screen brightness is currently not complete, not even sufficient.  ","The screen brightness is currently not complete, perhaps not even sufficient.  ",The screen brightness is currently not complete but sufficient.  
sufficient-complete ,The number of wheels in his car is sufficient.,The number of wheels in his car is complete.,The number of wheels in his car is not sufficient.,The number of wheels in his car is not complete.,"The number of wheels in his car is sufficient, even complete.","The number of wheels in his car is sufficient, perhaps even complete.",The number of wheels in his car is sufficient but not complete.,"The number of wheels in his car is not complete, not even sufficient.","The number of wheels in his car is not complete, maybe not even sufficient.",The number of wheels in his car is not complete but sufficient.
sufficient-complete ,This group has a sufficient number of students.  ,This group has a complete number of students.  ,This group does not have a sufficient number of students.  ,This group does not have a complete number of students.  ,"This group has a sufficient number of students, in fact, complete.  ","This group has a sufficient number of students, perhaps even complete.  ",This group has a sufficient number of students but not complete.  ,"This group does not have a complete number of students, in fact, not even sufficient.  ","This group does not have a complete number of students, perhaps not even sufficient.  ",This group does not have a complete number of students but is sufficient.  
sufficient-complete ,The number of shirts in the suitcase is sufficient.,The number of shirts in the suitcase is complete.,The number of shirts in the suitcase is not sufficient.,The number of shirts in the suitcase is not complete.,"The number of shirts in the suitcase is sufficient, even complete.","The number of shirts in the suitcase is sufficient, maybe even complete.",The number of shirts in the suitcase is sufficient but not complete.,"The number of shirts in the suitcase is not complete, not even sufficient.","The number of shirts in the suitcase is not complete, maybe not even sufficient.",The number of shirts in the suitcase is not complete but sufficient.
sufficient-complete ,The tree quantity in our forests is sufficient.,The tree quantity in our forests is complete.,The tree quantity in our forests is not sufficient.,The tree quantity in our forests is not complete.,"The tree quantity in our forests is sufficient, even complete.","The tree quantity in our forests is sufficient, maybe even complete.",The tree quantity in our forests is sufficient but not complete.,"The tree quantity in our forests is not complete, and not even sufficient.","The tree quantity in our forests is not complete, maybe not even sufficient.",The tree quantity in our forests is not complete but sufficient.
sufficient-complete ,Your money was sufficient for this job.  ,Your money was complete for this job.  ,Your money was not sufficient for this job.  ,Your money was not complete for this job.  ,"Your money was sufficient for this job, even complete.  ","Your money was sufficient for this job, perhaps even complete.  ",Your money was sufficient for this job but not complete.  ,"Your money was not complete for this job, not even sufficient.  ","Your money was not complete for this job, perhaps not even sufficient.  ",Your money was not complete for this job but it was sufficient.  
sufficient-complete ,Electronic music knowledge is sufficient.,Electronic music knowledge is complete.,Electronic music knowledge is not sufficient.,Electronic music knowledge is not complete.,"Electronic music knowledge is sufficient, even complete.","Electronic music knowledge is sufficient, maybe even complete.",Electronic music knowledge is sufficient but not complete.,"Electronic music knowledge is not complete, not even sufficient.","Electronic music knowledge is not complete, maybe not even sufficient.",Electronic music knowledge is not complete but sufficient.
sufficient-complete ,Support for modern arts is sufficient.  ,Support for modern arts is complete.  ,Support for modern arts is not sufficient.  ,Support for modern arts is not complete.  ,"Support for modern arts is sufficient, even complete.  ","Support for modern arts is sufficient, perhaps even complete.  ",Support for modern arts is sufficient but not complete.  ,"Support for modern arts is not complete, and not even sufficient.  ","Support for modern arts is not complete, perhaps not even sufficient.  ",Support for modern arts is not complete but it is sufficient.  
sufficient-complete ,The preparations for the photo exhibition are sufficient.  ,The preparations for the photo exhibition are complete.  ,The preparations for the photo exhibition are not sufficient.  ,The preparations for the photo exhibition are not complete.  ,"The preparations for the photo exhibition are sufficient, even complete.  ","The preparations for the photo exhibition are sufficient, perhaps even complete.  ",The preparations for the photo exhibition are sufficient but not complete.  ,"The preparations for the photo exhibition are not complete, not even sufficient.  ","The preparations for the photo exhibition are not complete, maybe not even sufficient.  ",The preparations for the photo exhibition are not complete but sufficient.  
sufficient-complete ,Nature-themed art activities are sufficient.,Nature-themed art activities are complete.,Nature-themed art activities are not sufficient.,Nature-themed art activities are not complete.,"Nature-themed art activities are sufficient, even complete.","Nature-themed art activities are sufficient, perhaps even complete.",Nature-themed art activities are sufficient but not complete.,"Nature-themed art activities are not complete, not even sufficient.","Nature-themed art activities are not complete, maybe not even sufficient.",Nature-themed art activities are not complete but sufficient.
sufficient-complete ,Your knowledge in the field of biotechnology is sufficient.  ,Your knowledge in the field of biotechnology is complete.  ,Your knowledge in the field of biotechnology is not sufficient.  ,Your knowledge in the field of biotechnology is not complete.  ,"Your knowledge in the field of biotechnology is sufficient, even complete.  ","Your knowledge in the field of biotechnology is sufficient, perhaps even complete.  ",Your knowledge in the field of biotechnology is sufficient but not complete.  ,"Your knowledge in the field of biotechnology is not complete, not even sufficient.  ","Your knowledge in the field of biotechnology is not complete, maybe not even sufficient.  ",Your knowledge in the field of biotechnology is not complete but sufficient.  
sufficient-complete ,The amount the hairdresser cut is sufficient.  ,The amount the hairdresser cut is complete.  ,The amount the hairdresser cut is not sufficient.  ,The amount the hairdresser cut is not complete.  ,"The amount the hairdresser cut is sufficient, even complete.  ","The amount the hairdresser cut is sufficient, maybe even complete.  ",The amount the hairdresser cut is sufficient but not complete.  ,"The amount the hairdresser cut is not complete, not even sufficient.  ","The amount the hairdresser cut is not complete, maybe not even sufficient.  ",The amount the hairdresser cut is not complete but sufficient.  
sufficient-complete ,Last year's innovative steps were sufficient.,Last year's innovative steps were complete.,Last year's innovative steps were not sufficient.,Last year's innovative steps were not complete.,"Last year's innovative steps were sufficient, even complete.","Last year's innovative steps were sufficient, perhaps even complete.",Last year's innovative steps were sufficient but not complete.,"Last year's innovative steps were not complete, not even sufficient.","Last year's innovative steps were not complete, perhaps not even sufficient.",Last year's innovative steps were not complete but were sufficient.
sufficient-complete ,Our intellectual accumulation is sufficient.  ,Our intellectual accumulation is complete.  ,Our intellectual accumulation is not sufficient.  ,Our intellectual accumulation is not complete.  ,"Our intellectual accumulation is sufficient, even complete.  ","Our intellectual accumulation is sufficient, perhaps even complete.  ",Our intellectual accumulation is sufficient but not complete.  ,"Our intellectual accumulation is not complete, even not sufficient at all.  ","Our intellectual accumulation is not complete, perhaps not even sufficient.  ",Our intellectual accumulation is not complete but it is sufficient.  
sufficient-complete ,The saved money is sufficient for this aid.  ,The saved money is complete for this aid.  ,The saved money is not sufficient for this aid.  ,The saved money is not complete for this aid.  ,"The saved money is sufficient, even complete for this aid.  ","The saved money is sufficient, perhaps even complete for this aid.  ",The saved money is sufficient but not complete for this aid.  ,The saved money is neither complete nor even sufficient for this aid.  ,"The saved money is not complete, perhaps not even sufficient for this aid.  ",The saved money is not complete but sufficient for this aid.  
sufficient-complete ,The amount of water in the lakes was sufficient.,The amount of water in the lakes was complete.,The amount of water in the lakes was not sufficient.,The amount of water in the lakes was not complete.,"The amount of water in the lakes was sufficient, even complete.","The amount of water in the lakes was sufficient, maybe even complete.",The amount of water in the lakes was sufficient but not complete.,"The amount of water in the lakes was not complete, in fact it was not even sufficient.","The amount of water in the lakes was not complete, maybe not even sufficient.",The amount of water in the lakes was not complete but was sufficient.
harmful-lethal,The air in this area is harmful for you.  ,The air in this area is lethal for you.  ,The air in this area is not harmful for you.  ,The air in this area is not lethal for you.  ,"The air in this area is harmful for you, even lethal.  ","The air in this area is harmful for you, perhaps even lethal.  ",The air in this area is harmful for you but not lethal.  ,"The air in this area is not lethal for you, not even harmful.  ","The air in this area is not lethal for you, perhaps not even harmful.  ",The air in this area is not lethal for you but harmful.  
harmful-lethal,The new drugs he started using are harmful.,The new drugs he started using are lethal.,The new drugs he started using are not harmful.,The new drugs he started using are not lethal.,"The new drugs he started using are harmful, even lethal.","The new drugs he started using are harmful, maybe even lethal.",The new drugs he started using are harmful but not lethal.,"The new drugs he started using are not lethal, they are not even harmful.","The new drugs he started using are not lethal, maybe not even harmful.",The new drugs he started using are not lethal but harmful.
harmful-lethal,The oil used in cooking in this region is harmful.,The oil used in cooking in this region is lethal.,The oil used in cooking in this region is not harmful.,The oil used in cooking in this region is not lethal.,"The oil used in cooking in this region is harmful, even lethal.","The oil used in cooking in this region is harmful, maybe even lethal.",The oil used in cooking in this region is harmful but not lethal.,"The oil used in cooking in this region is not lethal, not even harmful.","The oil used in cooking in this region is not lethal, maybe not even harmful.",The oil used in cooking in this region is not lethal but harmful.
harmful-lethal,The water sources in this region are harmful.  ,The water sources in this region are lethal.  ,The water sources in this region are not harmful.  ,The water sources in this region are not lethal.  ,"The water sources in this region are harmful, even lethal.  ","The water sources in this region are harmful, maybe even lethal.  ",The water sources in this region are harmful but not lethal.  ,"The water sources in this region are not lethal, not even harmful.  ","The water sources in this region are not lethal, maybe not even harmful.  ",The water sources in this region are not lethal but harmful.  
harmful-lethal,The city's air was harmful in the past years.  ,The city's air was lethal in the past years.  ,The city's air was not harmful in the past years.  ,The city's air was not lethal in the past years.  ,"The city's air was harmful in the past years, even lethal.  ","The city's air was harmful in the past years, perhaps even lethal.  ",The city's air was harmful in the past years but not lethal.  ,"The city's air was not lethal in the past years, not even harmful.  ","The city's air was not lethal in the past years, perhaps not even harmful.  ",The city's air was not lethal in the past years but it was harmful.  
harmful-lethal,The soil structure is harmful for this plant.  ,The soil structure is lethal for this plant.  ,The soil structure is not harmful for this plant.  ,The soil structure is not lethal for this plant.  ,"The soil structure is harmful for this plant, even lethal.  ","The soil structure is harmful for this plant, perhaps even lethal.  ",The soil structure is harmful for this plant but not lethal.  ,"The soil structure is not lethal for this plant, not even harmful.  ","The soil structure is not lethal for this plant, maybe not even harmful.  ",The soil structure is not lethal for this plant but it is harmful.  
