ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
3,450,7,some-most,Most children's toys are broken.,None of the children's toys are broken.,contradiction,2
3,450,8,some-most,None of the children's toys are broken.,Most children's toys are broken.,contradiction,2
5,227,1,seventeen-twenty-nine,Seventeen people climbed the hill.,Twenty people didn't climb the hill.,implicature,3
5,227,2,seventeen-twenty-nine,More than seventeen people didn't climb the hill.,Seventeen people climbed the hill.,implicature,3
5,227,3,seventeen-twenty-nine,Seventeen people didn't climb the hill.,Twenty people didn't climb the hill.,entailment,0
5,227,4,seventeen-twenty-nine,Twenty people climbed the hill.,Seventeen people climbed the hill.,entailment,0
5,227,5,seventeen-twenty-nine,Twenty people didn't climb the hill.,Seventeen people didn't climb the hill.,neutral,1
5,227,6,seventeen-twenty-nine,Seventeen people climbed the hill.,Twenty people climbed the hill.,neutral,1
5,227,7,seventeen-twenty-nine,Twenty people climbed the hill.,Seventeen people didn't climb the hill.,contradiction,2
5,227,8,seventeen-twenty-nine,Seventeen people didn't climb the hill.,Twenty people climbed the hill.,contradiction,2
5,227,9,seventeen-twenty-nine-c,Seventeen people didn't climb the hill.,Fewer than seventeen people climbed the hill.,implicature,3
5,227,10,seventeen-twenty-nine-c,Seventeen people didn't climb the hill.,At most sixteen people climbed the hill.,implicature,3
5,227,11,seventeen-twenty-nine-c,Seventeen people didn't climb the hill.,At least one person climbed the hill.,implicature,3
4,137,1,probably-certain,The bosses probably discussed the working conditions of the workers at this meeting.,It is not certain that the bosses discussed the working conditions of the workers at this meeting.,implicature,3
4,137,2,probably-certain,It is not certain that the bosses discussed the working conditions of the workers at this meeting.,The bosses probably discussed the working conditions of the workers at this meeting.,implicature,3
4,137,3,probably-certain,The bosses probably did not discuss the working conditions of the workers at this meeting.,It is not certain that the bosses discussed the working conditions of the workers at this meeting.,entailment,0
4,137,4,probably-certain,It is certain that the bosses discussed the working conditions of the workers at this meeting.,The bosses probably discussed the working conditions of the workers at this meeting.,entailment,0
4,137,5,probably-certain,It is not certain that the bosses discussed the working conditions of the workers at this meeting.,The bosses probably did not discuss the working conditions of the workers at this meeting.,neutral,1
4,137,6,probably-certain,The bosses probably discussed the working conditions of the workers at this meeting.,It is certain that the bosses discussed the working conditions of the workers at this meeting.,neutral,1
4,137,7,probably-certain,It is certain that the bosses discussed the working conditions of the workers at this meeting.,The bosses probably did not discuss the working conditions of the workers at this meeting.,contradiction,2
4,137,8,probably-certain,The bosses probably did not discuss the working conditions of the workers at this meeting.,It is certain that the bosses discussed the working conditions of the workers at this meeting.,contradiction,2
1,83,1,harmful-lethal,Such a loud noise is harmful to people.  ,Such a loud noise is not lethal to people.  ,implicature,3
1,83,2,harmful-lethal,Such a loud noise is not lethal to people.  ,Such a loud noise is harmful to people.  ,implicature,3
1,83,3,harmful-lethal,Such a loud noise is not harmful to people.  ,Such a loud noise is not lethal to people.  ,entailment,0
1,83,4,harmful-lethal,Such a loud noise is lethal to people.  ,Such a loud noise is harmful to people.  ,entailment,0
1,83,5,harmful-lethal,Such a loud noise is not lethal to people.  ,Such a loud noise is not harmful to people.  ,neutral,1
1,83,6,harmful-lethal,Such a loud noise is harmful to people.  ,Such a loud noise is lethal to people.  ,neutral,1
1,83,7,harmful-lethal,Such a loud noise is lethal to people.  ,Such a loud noise is not harmful to people.  ,contradiction,2
1,83,8,harmful-lethal,Such a loud noise is not harmful to people.  ,Such a loud noise is lethal to people.  ,contradiction,2
1,3,1,similar-same ,Those two paintings in the gallery are similar.,Those two paintings in the gallery are not the same.,implicature,3
1,3,2,similar-same ,Those two paintings in the gallery are not the same.,Those two paintings in the gallery are similar.,implicature,3
1,3,3,similar-same ,Those two paintings in the gallery are not similar.,Those two paintings in the gallery are not the same.,entailment,0
1,3,4,similar-same ,Those two paintings in the gallery are the same.,Those two paintings in the gallery are similar.,entailment,0
1,3,5,similar-same ,Those two paintings in the gallery are not the same.,Those two paintings in the gallery are not similar.,neutral,1
1,3,6,similar-same ,Those two paintings in the gallery are similar.,Those two paintings in the gallery are the same.,neutral,1
1,3,7,similar-same ,Those two paintings in the gallery are the same.,Those two paintings in the gallery are not similar.,contradiction,2
1,3,8,similar-same ,Those two paintings in the gallery are not similar.,Those two paintings in the gallery are the same.,contradiction,2
2,308,1,call out-yell,They called out to the group in front of you.,They didn't yell at the group in front of you.,implicature,3
2,308,2,call out-yell,They didn't yell at the group in front of you.,They called out to the group in front of you.,implicature,3
2,308,3,call out-yell,They didn't call out to the group in front of you.,They didn't yell at the group in front of you.,entailment,0
2,308,4,call out-yell,They yelled at the group in front of you.,They called out to the group in front of you.,entailment,0
2,308,5,call out-yell,They didn't yell at the group in front of you.,They didn't call out to the group in front of you.,neutral,1
2,308,6,call out-yell,They called out to the group in front of you.,They yelled at the group in front of you.,neutral,1
2,308,7,call out-yell,They yelled at the group in front of you.,They didn't call out to the group in front of you.,contradiction,2
2,308,8,call out-yell,They didn't call out to the group in front of you.,They yelled at the group in front of you.,contradiction,2
1,136,1,close-adjacent,The houses of the relatives we visited last year were close to each other.,The houses of the relatives we visited last year were not adjacent to each other.,implicature,3
1,136,2,close-adjacent,The houses of the relatives we visited last year were not adjacent to each other.,The houses of the relatives we visited last year were close to each other.,implicature,3
1,136,3,close-adjacent,The houses of the relatives we visited last year were not close to each other.,The houses of the relatives we visited last year were not adjacent to each other.,entailment,0
1,136,4,close-adjacent,The houses of the relatives we visited last year were adjacent to each other.,The houses of the relatives we visited last year were close to each other.,entailment,0
1,136,5,close-adjacent,The houses of the relatives we visited last year were not adjacent to each other.,The houses of the relatives we visited last year were not close to each other.,neutral,1
1,136,6,close-adjacent,The houses of the relatives we visited last year were close to each other.,The houses of the relatives we visited last year were adjacent to each other.,neutral,1
1,136,7,close-adjacent,The houses of the relatives we visited last year were adjacent to each other.,The houses of the relatives we visited last year were not close to each other.,contradiction,2
1,136,8,close-adjacent,The houses of the relatives we visited last year were not close to each other.,The houses of the relatives we visited last year were adjacent to each other.,contradiction,2
5,108,1,ten-twelve,He waited at sea for ten hours.,He did not wait at sea for twelve hours.,implicature,3
5,108,2,ten-twelve,He did not wait at sea for more than ten hours.,He waited at sea for ten hours.,implicature,3
5,108,3,ten-twelve,He did not wait at sea for ten hours.,He did not wait at sea for twelve hours.,entailment,0
5,108,4,ten-twelve,He waited at sea for twelve hours.,He waited at sea for ten hours.,entailment,0
5,108,5,ten-twelve,He did not wait at sea for twelve hours.,He did not wait at sea for ten hours.,neutral,1
5,108,6,ten-twelve,He waited at sea for ten hours.,He waited at sea for twelve hours.,neutral,1
5,108,7,ten-twelve,He waited at sea for twelve hours.,He did not wait at sea for ten hours.,contradiction,2
5,108,8,ten-twelve,He did not wait at sea for ten hours.,He waited at sea for twelve hours.,contradiction,2
5,108,9,ten-twelve-c,He did not wait at sea for ten hours.,He waited at sea for fewer than ten hours.,implicature,3
5,108,10,ten-twelve-c,He did not wait at sea for ten hours.,He waited at sea for at most nine hours.,implicature,3
5,108,11,ten-twelve-c,He did not wait at sea for ten hours.,He waited at sea for at least one hour.,implicature,3
3,21,1,a few-all,He has sold a few houses.,He hasn't sold all his houses.,implicature,3
3,21,2,a few-all,He hasn't sold all his houses.,He has sold a few houses.,implicature,3
3,21,3,a few-all,He hasn't sold any of his houses.,He hasn't sold all his houses.,entailment,0
3,21,4,a few-all,He has sold all his houses.,He has sold a few houses.,entailment,0
3,21,5,a few-all,He hasn't sold all his houses.,He hasn't sold any of his houses.,neutral,1
3,21,6,a few-all,He has sold a few houses.,He has sold all his houses.,neutral,1
3,21,7,a few-all,He has sold all his houses.,He hasn't sold any of his houses.,contradiction,2
3,21,8,a few-all,He hasn't sold any of his houses.,He has sold all his houses.,contradiction,2
4,414,1,possibly-one hundred percent,He possibly followed his own football team all year.,It is not one hundred percent certain he followed his own football team all year.,implicature,3
4,414,2,possibly-one hundred percent,It is not one hundred percent certain he followed his own football team all year.,He possibly followed his own football team all year.,implicature,3
4,414,3,possibly-one hundred percent,He possibly did not follow his own football team all year.,It is not one hundred percent certain he followed his own football team all year.,entailment,0
4,414,4,possibly-one hundred percent,He is one hundred percent certain followed his own football team all year.,He possibly followed his own football team all year.,entailment,0
4,414,5,possibly-one hundred percent,It is not one hundred percent certain he followed his own football team all year.,He possibly did not follow his own football team all year.,neutral,1
4,414,6,possibly-one hundred percent,He possibly followed his own football team all year.,He is one hundred percent certain followed his own football team all year.,neutral,1
4,414,7,possibly-one hundred percent,He is one hundred percent certain followed his own football team all year.,He possibly did not follow his own football team all year.,contradiction,2
4,414,8,possibly-one hundred percent,He possibly did not follow his own football team all year.,He is one hundred percent certain followed his own football team all year.,contradiction,2
3,420,1,some-most,Some food tastes bad.,Most food doesn't taste bad.,implicature,3
3,420,2,some-most,Most food doesn't taste bad.,Some food tastes bad.,implicature,3
3,420,3,some-most,No food tastes bad.,Most food doesn't taste bad.,entailment,0
3,420,4,some-most,Most food tastes bad.,Some food tastes bad.,entailment,0
3,420,5,some-most,Most food doesn't taste bad.,No food tastes bad.,neutral,1
3,420,6,some-most,Some food tastes bad.,Most food tastes bad.,neutral,1
3,420,7,some-most,Most food tastes bad.,No food tastes bad.,contradiction,2
3,420,8,some-most,No food tastes bad.,Most food tastes bad.,contradiction,2
3,113,1,a few-every,A few of the trials were successful.,Every one of the trials failed.,implicature,3
3,113,2,a few-every,Every one of the trials failed.,A few of the trials were successful.,implicature,3
3,113,3,a few-every,None of the trials failed.,Every one of the trials failed.,entailment,0
3,113,4,a few-every,Every one of the trials was successful.,A few of the trials were successful.,entailment,0
3,113,5,a few-every,Every one of the trials failed.,None of the trials failed.,neutral,1
3,113,6,a few-every,A few of the trials were successful.,Every one of the trials was successful.,neutral,1
3,113,7,a few-every,Every one of the trials was successful.,None of the trials failed.,contradiction,2
3,113,8,a few-every,None of the trials failed.,Every one of the trials was successful.,contradiction,2
2,422,1,cool-shiver,"When we went out on the balcony, we cooled off.","When we went out on the balcony, we didn't shiver.",implicature,3
2,422,2,cool-shiver,"When we went out on the balcony, we didn't shiver.","When we went out on the balcony, we cooled off.",implicature,3
2,422,3,cool-shiver,"When we went out on the balcony, we didn't cool off.","When we went out on the balcony, we didn't shiver.",entailment,0
2,422,4,cool-shiver,"When we went out on the balcony, we shivered.","When we went out on the balcony, we cooled off.",entailment,0
2,422,5,cool-shiver,"When we went out on the balcony, we didn't shiver.","When we went out on the balcony, we didn't cool off.",neutral,1
2,422,6,cool-shiver,"When we went out on the balcony, we cooled off.","When we went out on the balcony, we shivered.",neutral,1
2,422,7,cool-shiver,"When we went out on the balcony, we shivered.","When we went out on the balcony, we didn't cool off.",contradiction,2
2,422,8,cool-shiver,"When we went out on the balcony, we didn't cool off.","When we went out on the balcony, we shivered.",contradiction,2
2,220,1,start-finish ,He started to read the new book series.,He did not finish reading the new book series.,implicature,3
2,220,2,start-finish ,He did not finish reading the new book series.,He started to read the new book series.,implicature,3
2,220,3,start-finish ,He did not start to read the new book series.,He did not finish reading the new book series.,entailment,0
2,220,4,start-finish ,He finished reading the new book series.,He started to read the new book series.,entailment,0
2,220,5,start-finish ,He did not finish reading the new book series.,He did not start to read the new book series.,neutral,1
2,220,6,start-finish ,He started to read the new book series.,He finished reading the new book series.,neutral,1
2,220,7,start-finish ,He finished reading the new book series.,He did not start to read the new book series.,contradiction,2
2,220,8,start-finish ,He did not start to read the new book series.,He finished reading the new book series.,contradiction,2
2,193,1,perceive-grasp ,He perceived the flavors of different cuisines while working with that chef.,He didn't grasp the flavors of different cuisines while working with that chef.,implicature,3
2,193,2,perceive-grasp ,He didn't grasp the flavors of different cuisines while working with that chef.,He perceived the flavors of different cuisines while working with that chef.,implicature,3
2,193,3,perceive-grasp ,He didn't perceive the flavors of different cuisines while working with that chef.,He didn't grasp the flavors of different cuisines while working with that chef.,entailment,0
2,193,4,perceive-grasp ,He grasped the flavors of different cuisines while working with that chef.,He perceived the flavors of different cuisines while working with that chef.,entailment,0
2,193,5,perceive-grasp ,He didn't grasp the flavors of different cuisines while working with that chef.,He didn't perceive the flavors of different cuisines while working with that chef.,neutral,1
2,193,6,perceive-grasp ,He perceived the flavors of different cuisines while working with that chef.,He grasped the flavors of different cuisines while working with that chef.,neutral,1
2,193,7,perceive-grasp ,He grasped the flavors of different cuisines while working with that chef.,He didn't perceive the flavors of different cuisines while working with that chef.,contradiction,2
2,193,8,perceive-grasp ,He didn't perceive the flavors of different cuisines while working with that chef.,He grasped the flavors of different cuisines while working with that chef.,contradiction,2
4,221,1,probably-certain,They are probably renovating the building next door.,It is not certain that they are renovating the building next door.,implicature,3
4,221,2,probably-certain,It is not certain that they are renovating the building next door.,They are probably renovating the building next door.,implicature,3
4,221,3,probably-certain,They are probably not renovating the building next door.,It is not certain that they are renovating the building next door.,entailment,0
4,221,4,probably-certain,It is certain that they are renovating the building next door.,They are probably renovating the building next door.,entailment,0
4,221,5,probably-certain,It is not certain that they are renovating the building next door.,They are probably not renovating the building next door.,neutral,1
4,221,6,probably-certain,They are probably renovating the building next door.,It is certain that they are renovating the building next door.,neutral,1
4,221,7,probably-certain,It is certain that they are renovating the building next door.,They are probably not renovating the building next door.,contradiction,2
4,221,8,probably-certain,They are probably not renovating the building next door.,It is certain that they are renovating the building next door.,contradiction,2
4,29,1,probably-certain,He will probably water the trees.,It is not certain that he will water the trees.,implicature,3
4,29,2,probably-certain,It is not certain that he will water the trees.,He will probably water the trees.,implicature,3
4,29,3,probably-certain,He probably won't water the trees.,It is not certain that he will water the trees.,entailment,0
4,29,4,probably-certain,It is certain that he will water the trees.,He will probably water the trees.,entailment,0
4,29,5,probably-certain,It is not certain that he will water the trees.,He probably won't water the trees.,neutral,1
4,29,6,probably-certain,He will probably water the trees.,It is certain that he will water the trees.,neutral,1
4,29,7,probably-certain,It is certain that he will water the trees.,He probably won't water the trees.,contradiction,2
4,29,8,probably-certain,He probably won't water the trees.,It is certain that he will water the trees.,contradiction,2
3,284,1,some-every,Some of the countries went to war.,Not every country went to war.,implicature,3
3,284,2,some-every,Not every country went to war.,Some of the countries went to war.,implicature,3
3,284,3,some-every,None of the countries went to war.,Not every country went to war.,entailment,0
3,284,4,some-every,Every country went to war.,Some of the countries went to war.,entailment,0
3,284,5,some-every,Not every country went to war.,None of the countries went to war.,neutral,1
3,284,6,some-every,Some of the countries went to war.,Every country went to war.,neutral,1
3,284,7,some-every,Every country went to war.,None of the countries went to war.,contradiction,2
3,284,8,some-every,None of the countries went to war.,Every country went to war.,contradiction,2
3,103,1,a few-every,You listened to a few of their songs.,You did not listen to every one of their songs.,implicature,3
3,103,2,a few-every,You did not listen to every one of their songs.,You listened to a few of their songs.,implicature,3
3,103,3,a few-every,You did not listen to any of their songs.,You did not listen to every one of their songs.,entailment,0
3,103,4,a few-every,You listened to every one of their songs.,You listened to a few of their songs.,entailment,0
3,103,5,a few-every,You did not listen to every one of their songs.,You did not listen to any of their songs.,neutral,1
3,103,6,a few-every,You listened to a few of their songs.,You listened to every one of their songs.,neutral,1
3,103,7,a few-every,You listened to every one of their songs.,You did not listen to any of their songs.,contradiction,2
3,103,8,a few-every,You did not listen to any of their songs.,You listened to every one of their songs.,contradiction,2
4,158,1,probably-certain,They probably understood the lyrics of the song.,It is not certain that they understood the lyrics of the song.,implicature,3
4,158,2,probably-certain,It is not certain that they understood the lyrics of the song.,They probably understood the lyrics of the song.,implicature,3
4,158,3,probably-certain,They probably didn't understand the lyrics of the song.,It is not certain that they understood the lyrics of the song.,entailment,0
4,158,4,probably-certain,It is certain that they understood the lyrics of the song.,They probably understood the lyrics of the song.,entailment,0
4,158,5,probably-certain,It is not certain that they understood the lyrics of the song.,They probably didn't understand the lyrics of the song.,neutral,1
4,158,6,probably-certain,They probably understood the lyrics of the song.,It is certain that they understood the lyrics of the song.,neutral,1
4,158,7,probably-certain,It is certain that they understood the lyrics of the song.,They probably didn't understand the lyrics of the song.,contradiction,2
4,158,8,probably-certain,They probably didn't understand the lyrics of the song.,It is certain that they understood the lyrics of the song.,contradiction,2
4,247,1,possibly-one hundred percent,They will possibly close their social media accounts.,It is not one hundred percent certain that they will close their social media accounts.,implicature,3
4,247,2,possibly-one hundred percent,It is not one hundred percent certain that they will close their social media accounts.,They will possibly close their social media accounts.,implicature,3
4,247,3,possibly-one hundred percent,They will possibly not close their social media accounts.,It is not one hundred percent certain that they will close their social media accounts.,entailment,0
4,247,4,possibly-one hundred percent,They will one hundred percent close their social media accounts.,They will possibly close their social media accounts.,entailment,0
4,247,5,possibly-one hundred percent,It is not one hundred percent certain that they will close their social media accounts.,They will possibly not close their social media accounts.,neutral,1
4,247,6,possibly-one hundred percent,They will possibly close their social media accounts.,They will one hundred percent close their social media accounts.,neutral,1
4,247,7,possibly-one hundred percent,They will one hundred percent close their social media accounts.,They will possibly not close their social media accounts.,contradiction,2
4,247,8,possibly-one hundred percent,They will possibly not close their social media accounts.,They will one hundred percent close their social media accounts.,contradiction,2
4,394,1,possibly-one hundred percent,He possibly heard the news last.,It wasn't one hundred percent certain that he heard the news last.,implicature,3
4,394,2,possibly-one hundred percent,It wasn't one hundred percent certain that he heard the news last.,He possibly heard the news last.,implicature,3
4,394,3,possibly-one hundred percent,He possibly didn't hear the news last.,It wasn't one hundred percent certain that he heard the news last.,entailment,0
4,394,4,possibly-one hundred percent,He one hundred percent certain heard the news last.,He possibly heard the news last.,entailment,0
4,394,5,possibly-one hundred percent,It wasn't one hundred percent certain that he heard the news last.,He possibly didn't hear the news last.,neutral,1
4,394,6,possibly-one hundred percent,He possibly heard the news last.,He one hundred percent certain heard the news last.,neutral,1
4,394,7,possibly-one hundred percent,He one hundred percent certain heard the news last.,He possibly didn't hear the news last.,contradiction,2
4,394,8,possibly-one hundred percent,He possibly didn't hear the news last.,He one hundred percent certain heard the news last.,contradiction,2
2,155,1,perceive-grasp ,You have perceived the sales trend in recent years.,You have not grasped the sales trend in recent years.,implicature,3
2,155,2,perceive-grasp ,You have not grasped the sales trend in recent years.,You have perceived the sales trend in recent years.,implicature,3
2,155,3,perceive-grasp ,You have not perceived the sales trend in recent years.,You have not grasped the sales trend in recent years.,entailment,0
2,155,4,perceive-grasp ,You have grasped the sales trend in recent years.,You have perceived the sales trend in recent years.,entailment,0
2,155,5,perceive-grasp ,You have not grasped the sales trend in recent years.,You have not perceived the sales trend in recent years.,neutral,1
2,155,6,perceive-grasp ,You have perceived the sales trend in recent years.,You have grasped the sales trend in recent years.,neutral,1
2,155,7,perceive-grasp ,You have grasped the sales trend in recent years.,You have not perceived the sales trend in recent years.,contradiction,2
2,155,8,perceive-grasp ,You have not perceived the sales trend in recent years.,You have grasped the sales trend in recent years.,contradiction,2
2,196,1,perceive-grasp ,He perceived the rhythm in Latin dances.,He didn't grasp the rhythm in Latin dances.,implicature,3
2,196,2,perceive-grasp ,He didn't grasp the rhythm in Latin dances.,He perceived the rhythm in Latin dances.,implicature,3
2,196,3,perceive-grasp ,He didn't perceive the rhythm in Latin dances.,He didn't grasp the rhythm in Latin dances.,entailment,0
2,196,4,perceive-grasp ,He grasped the rhythm in Latin dances.,He perceived the rhythm in Latin dances.,entailment,0
2,196,5,perceive-grasp ,He didn't grasp the rhythm in Latin dances.,He didn't perceive the rhythm in Latin dances.,neutral,1
2,196,6,perceive-grasp ,He perceived the rhythm in Latin dances.,He grasped the rhythm in Latin dances.,neutral,1
2,196,7,perceive-grasp ,He grasped the rhythm in Latin dances.,He didn't perceive the rhythm in Latin dances.,contradiction,2
2,196,8,perceive-grasp ,He didn't perceive the rhythm in Latin dances.,He grasped the rhythm in Latin dances.,contradiction,2
4,10,1,probably-certain,We will probably save money this year.,It is not certain that we will save money this year.,implicature,3
4,10,2,probably-certain,It is not certain that we will save money this year.,We will probably save money this year.,implicature,3
4,10,3,probably-certain,We probably won't save money this year.,It is not certain that we will save money this year.,entailment,0
4,10,4,probably-certain,It is certain that we will save money this year.,We will probably save money this year.,entailment,0
4,10,5,probably-certain,It is not certain that we will save money this year.,We probably won't save money this year.,neutral,1
4,10,6,probably-certain,We will probably save money this year.,It is certain that we will save money this year.,neutral,1
4,10,7,probably-certain,It is certain that we will save money this year.,We probably won't save money this year.,contradiction,2
4,10,8,probably-certain,We probably won't save money this year.,It is certain that we will save money this year.,contradiction,2
3,296,1,some-every,Some of the chemistry lessons are boring.,Not every chemistry lesson is boring.,implicature,3
3,296,2,some-every,Not every chemistry lesson is boring.,Some of the chemistry lessons are boring.,implicature,3
3,296,3,some-every,None of the chemistry lessons are boring.,Not every chemistry lesson is boring.,entailment,0
3,296,4,some-every,Every chemistry lesson is boring.,Some of the chemistry lessons are boring.,entailment,0
3,296,5,some-every,Not every chemistry lesson is boring.,None of the chemistry lessons are boring.,neutral,1
3,296,6,some-every,Some of the chemistry lessons are boring.,Every chemistry lesson is boring.,neutral,1
3,296,7,some-every,Every chemistry lesson is boring.,None of the chemistry lessons are boring.,contradiction,2
3,296,8,some-every,None of the chemistry lessons are boring.,Every chemistry lesson is boring.,contradiction,2
1,337,1,interested-obsessed ,My students are interested in chemistry.,My students are not obsessed with chemistry.,implicature,3
1,337,2,interested-obsessed ,My students are not obsessed with chemistry.,My students are interested in chemistry.,implicature,3
1,337,3,interested-obsessed ,My students are not interested in chemistry.,My students are not obsessed with chemistry.,entailment,0
1,337,4,interested-obsessed ,My students are obsessed with chemistry.,My students are interested in chemistry.,entailment,0
1,337,5,interested-obsessed ,My students are not obsessed with chemistry.,My students are not interested in chemistry.,neutral,1
1,337,6,interested-obsessed ,My students are interested in chemistry.,My students are obsessed with chemistry.,neutral,1
1,337,7,interested-obsessed ,My students are obsessed with chemistry.,My students are not interested in chemistry.,contradiction,2
1,337,8,interested-obsessed ,My students are not interested in chemistry.,My students are obsessed with chemistry.,contradiction,2
2,55,1,attempt-succeed ,You attempted to start the day energetically.,You didn't succeed in starting the day energetically.,implicature,3
2,55,2,attempt-succeed ,You didn't succeed in starting the day energetically.,You attempted to start the day energetically.,implicature,3
2,55,3,attempt-succeed ,You didn't attempt to start the day energetically.,You didn't succeed in starting the day energetically.,entailment,0
