ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
6,5,10,two-three-par-c,Two of the companies did not go bankrupt.,At most two of the companies went bankrupt.,neutral,1
6,5,11,two-three-par-c,Two of the companies did not go bankrupt.,At least one of the companies went bankrupt.,implicature,3
6,6,1,two-three-par-n,Two of the awards will be given to us.,Three of the awards will not be given to us.,neutral,1
6,6,2,two-three-par-n,More than two of the awards will not be given to us.,Two of the awards will be given to us.,neutral,1
6,6,3,two-three-par-n,Two of the awards will not be given to us.,Three of the awards will not be given to us.,neutral,1
6,6,4,two-three-par-n,Three of the awards will be given to us.,Two of the awards will be given to us.,entailment,0
6,6,5,two-three-par-n,Three of the awards will not be given to us.,Two of the awards will not be given to us.,neutral,1
6,6,6,two-three-par-n,Two of the awards will be given to us.,Three of the awards will be given to us.,neutral,1
6,6,7,two-three-par-n,Three of the awards will be given to us.,Two of the awards will not be given to us.,neutral,1
6,6,8,two-three-par-n,Two of the awards will not be given to us.,Three of the awards will be given to us.,neutral,1
6,6,9,two-three-par-c,Two of the awards will not be given to us.,Less than two of the awards will be given to us.,neutral,1
6,6,10,two-three-par-c,Two of the awards will not be given to us.,At most two of the awards will be given to us.,neutral,1
6,6,11,two-three-par-c,Two of the awards will not be given to us.,At least one of the awards will be given to us.,implicature,3
6,7,1,two-three-par-n,Two of the candidates were born here.,Three of the candidates were not born here.,neutral,1
6,7,2,two-three-par-n,More than two of the candidates were not born here.,Two of the candidates were born here.,neutral,1
6,7,3,two-three-par-n,Two of the candidates were not born here.,Three of the candidates were not born here.,neutral,1
6,7,4,two-three-par-n,Three of the candidates were born here.,Two of the candidates were born here.,entailment,0
6,7,5,two-three-par-n,Three of the candidates were not born here.,Two of the candidates were not born here.,neutral,1
6,7,6,two-three-par-n,Two of the candidates were born here.,Three of the candidates were born here.,neutral,1
6,7,7,two-three-par-n,Three of the candidates were born here.,Two of the candidates were not born here.,neutral,1
6,7,8,two-three-par-n,Two of the candidates were not born here.,Three of the candidates were born here.,neutral,1
6,7,9,two-three-par-c,Two of the candidates were not born here.,Less than two of the candidates were born here.,neutral,1
6,7,10,two-three-par-c,Two of the candidates were not born here.,At most two of the candidates were born here.,neutral,1
6,7,11,two-three-par-c,Two of the candidates were not born here.,At least one of the candidates was born here.,implicature,3
6,8,1,two-three-par-n,Two of these projects will be successful.,Three of these projects will not be successful.,neutral,1
6,8,2,two-three-par-n,More than two of these projects will not be successful.,Two of these projects will be successful.,neutral,1
6,8,3,two-three-par-n,Two of these projects will not be successful.,Three of these projects will not be successful.,neutral,1
6,8,4,two-three-par-n,Three of these projects will be successful.,Two of these projects will be successful.,entailment,0
6,8,5,two-three-par-n,Three of these projects will not be successful.,Two of these projects will not be successful.,neutral,1
6,8,6,two-three-par-n,Two of these projects will be successful.,Three of these projects will be successful.,neutral,1
6,8,7,two-three-par-n,Three of these projects will be successful.,Two of these projects will not be successful.,neutral,1
6,8,8,two-three-par-n,Two of these projects will not be successful.,Three of these projects will be successful.,neutral,1
6,8,9,two-three-par-c,Two of these projects will not be successful.,Less than two of these projects will be successful.,neutral,1
6,8,10,two-three-par-c,Two of these projects will not be successful.,At most two of these projects will be successful.,neutral,1
6,8,11,two-three-par-c,Two of these projects will not be successful.,At least one of these projects will be successful.,implicature,3
6,9,1,two-three-par-n,Two of the songs on the album became hits.,Three of the songs on the album did not become hits.,neutral,1
6,9,2,two-three-par-n,More than two of the songs on the album did not become hits.,Two of the songs on the album became hits.,neutral,1
6,9,3,two-three-par-n,Two of the songs on the album did not become hits.,Three of the songs on the album did not become hits.,neutral,1
6,9,4,two-three-par-n,Three of the songs on the album became hits.,Two of the songs on the album became hits.,entailment,0
6,9,5,two-three-par-n,Three of the songs on the album did not become hits.,Two of the songs on the album did not become hits.,neutral,1
6,9,6,two-three-par-n,Two of the songs on the album became hits.,Three of the songs on the album became hits.,neutral,1
6,9,7,two-three-par-n,Three of the songs on the album became hits.,Two of the songs on the album did not become hits.,neutral,1
6,9,8,two-three-par-n,Two of the songs on the album did not become hits.,Three of the songs on the album became hits.,neutral,1
6,9,9,two-three-par-c,Two of the songs on the album did not become hits.,Less than two of the songs on the album became hits.,neutral,1
6,9,10,two-three-par-c,Two of the songs on the album did not become hits.,At most two of the songs on the album became hits.,neutral,1
6,9,11,two-three-par-c,Two of the songs on the album did not become hits.,At least one of the songs on the album became hits.,implicature,3
6,10,1,two-three-par-n,Two of my glasses are lost.,Three of my glasses are not lost.,neutral,1
6,10,2,two-three-par-n,More than two of my glasses are not lost.,Two of my glasses are lost.,neutral,1
6,10,3,two-three-par-n,Two of my glasses are not lost.,Three of my glasses are not lost.,neutral,1
6,10,4,two-three-par-n,Three of my glasses are lost.,Two of my glasses are lost.,entailment,0
6,10,5,two-three-par-n,Three of my glasses are not lost.,Two of my glasses are not lost.,neutral,1
6,10,6,two-three-par-n,Two of my glasses are lost.,Three of my glasses are lost.,neutral,1
6,10,7,two-three-par-n,Three of my glasses are lost.,Two of my glasses are not lost.,neutral,1
6,10,8,two-three-par-n,Two of my glasses are not lost.,Three of my glasses are lost.,neutral,1
6,10,9,two-three-par-c,Two of my glasses are not lost.,Less than two of my glasses are lost.,neutral,1
6,10,10,two-three-par-c,Two of my glasses are not lost.,At most two of my glasses are lost.,neutral,1
6,10,11,two-three-par-c,Two of my glasses are not lost.,At least one of my glasses is lost.,implicature,3
6,11,1,three-five-par-n,Five of his ideas are logical.,Seven of his ideas are not logical.,neutral,1
6,11,2,three-five-par-n,More than five of his ideas are not logical.,Five of his ideas are logical.,neutral,1
6,11,3,three-five-par-n,Five of his ideas are not logical.,Seven of his ideas are not logical.,neutral,1
6,11,4,three-five-par-n,Seven of his ideas are logical.,Five of his ideas are logical.,entailment,0
6,11,5,three-five-par-n,Seven of his ideas are not logical.,Five of his ideas are not logical.,neutral,1
6,11,6,three-five-par-n,Five of his ideas are logical.,Seven of his ideas are logical.,neutral,1
6,11,7,three-five-par-n,Seven of his ideas are logical.,Five of his ideas are not logical.,neutral,1
6,11,8,three-five-par-n,Five of his ideas are not logical.,Seven of his ideas are logical.,neutral,1
6,11,9,three-five-par-c,Five of his ideas are not logical.,Less than five of his ideas are logical.,neutral,1
6,11,10,three-five-par-c,Five of his ideas are not logical.,At most four of his ideas are logical.,neutral,1
6,11,11,three-five-par-c,Five of his ideas are not logical.,At least one of his ideas is logical.,implicature,3
6,12,1,three-five-par-n,Five of your televisions turned out to be broken.,Seven of your televisions didn't turn out to be broken.,neutral,1
6,12,2,three-five-par-n,More than five of your televisions didn't turn out to be broken.,Five of your televisions turned out to be broken.,neutral,1
6,12,3,three-five-par-n,Five of your televisions didn't turn out to be broken.,Seven of your televisions didn't turn out to be broken.,neutral,1
6,12,4,three-five-par-n,Seven of your televisions turned out to be broken.,Five of your televisions turned out to be broken.,entailment,0
6,12,5,three-five-par-n,Seven of your televisions didn't turn out to be broken.,Five of your televisions didn't turn out to be broken.,neutral,1
6,12,6,three-five-par-n,Five of your televisions turned out to be broken.,Seven of your televisions turned out to be broken.,neutral,1
6,12,7,three-five-par-n,Seven of your televisions turned out to be broken.,Five of your televisions didn't turn out to be broken.,neutral,1
6,12,8,three-five-par-n,Five of your televisions didn't turn out to be broken.,Seven of your televisions turned out to be broken.,neutral,1
6,12,9,three-five-par-c,Five of your televisions didn't turn out to be broken.,Less than five of your televisions turned out to be broken.,neutral,1
6,12,10,three-five-par-c,Five of your televisions didn't turn out to be broken.,At most four of your televisions turned out to be broken.,neutral,1
6,12,11,three-five-par-c,Five of your televisions didn't turn out to be broken.,At least one of your televisions turned out to be broken.,implicature,3
6,13,1,three-five-par-n,Five buttons on the remote are working.,Seven buttons on the remote aren't working.,neutral,1
6,13,2,three-five-par-n,More than five buttons on the remote aren't working.,Five buttons on the remote are working.,neutral,1
6,13,3,three-five-par-n,Five buttons on the remote aren't working.,Seven buttons on the remote aren't working.,neutral,1
6,13,4,three-five-par-n,Seven buttons on the remote are working.,Five buttons on the remote are working.,entailment,0
6,13,5,three-five-par-n,Seven buttons on the remote aren't working.,Five buttons on the remote aren't working.,neutral,1
6,13,6,three-five-par-n,Five buttons on the remote are working.,Seven buttons on the remote are working.,neutral,1
6,13,7,three-five-par-n,Seven buttons on the remote are working.,Five buttons on the remote aren't working.,neutral,1
6,13,8,three-five-par-n,Five buttons on the remote aren't working.,Seven buttons on the remote are working.,neutral,1
6,13,9,three-five-par-c,Five buttons on the remote aren't working.,Less than five buttons on the remote are working.,neutral,1
6,13,10,three-five-par-c,Five buttons on the remote aren't working.,At most four buttons on the remote are working.,neutral,1
6,13,11,three-five-par-c,Five buttons on the remote aren't working.,At least one button on the remote is working.,implicature,3
6,14,1,three-five-par-n,I planted five of the trees.,I didn't plant seven of the trees.,neutral,1
6,14,2,three-five-par-n,I didn't plant more than five of the trees.,I planted five of the trees.,neutral,1
6,14,3,three-five-par-n,I didn't plant five of the trees.,I didn't plant seven of the trees.,neutral,1
6,14,4,three-five-par-n,I planted seven of the trees.,I planted five of the trees.,entailment,0
6,14,5,three-five-par-n,I didn't plant seven of the trees.,I didn't plant five of the trees.,neutral,1
6,14,6,three-five-par-n,I planted five of the trees.,I planted seven of the trees.,neutral,1
6,14,7,three-five-par-n,I planted seven of the trees.,I didn't plant five of the trees.,neutral,1
6,14,8,three-five-par-n,I didn't plant five of the trees.,I planted seven of the trees.,neutral,1
6,14,9,three-five-par-c,I didn't plant five of the trees.,I planted less than five of the trees.,neutral,1
6,14,10,three-five-par-c,I didn't plant five of the trees.,I planted at most four of the trees.,neutral,1
6,14,11,three-five-par-c,I didn't plant five of the trees.,I planted at least one of the trees.,implicature,3
6,15,1,three-five-par-n,Five people came from the gym.,Seven people didn't come from the gym.,neutral,1
6,15,2,three-five-par-n,More than five people didn't come from the gym.,Five people came from the gym.,neutral,1
6,15,3,three-five-par-n,Five people didn't come from the gym.,Seven people didn't come from the gym.,neutral,1
6,15,4,three-five-par-n,Seven people came from the gym.,Five people came from the gym.,entailment,0
6,15,5,three-five-par-n,Seven people didn't come from the gym.,Five people didn't come from the gym.,neutral,1
6,15,6,three-five-par-n,Five people came from the gym.,Seven people came from the gym.,neutral,1
6,15,7,three-five-par-n,Seven people came from the gym.,Five people didn't come from the gym.,neutral,1
6,15,8,three-five-par-n,Five people didn't come from the gym.,Seven people came from the gym.,neutral,1
6,15,9,three-five-par-c,Five people didn't come from the gym.,Less than five people came from the gym.,neutral,1
6,15,10,three-five-par-c,Five people didn't come from the gym.,At most four people came from the gym.,neutral,1
6,15,11,three-five-par-c,Five people didn't come from the gym.,At least one person came from the gym.,implicature,3
6,16,1,three-five-par-n,They killed five members of the old board.,They didn't kill seven members of the old board.,neutral,1
6,16,2,three-five-par-n,They didn't kill more than five members of the old board.,They killed five members of the old board.,neutral,1
6,16,3,three-five-par-n,They didn't kill five members of the old board.,They didn't kill seven members of the old board.,neutral,1
6,16,4,three-five-par-n,They killed seven members of the old board.,They killed five members of the old board.,entailment,0
6,16,5,three-five-par-n,They didn't kill seven members of the old board.,They didn't kill five members of the old board.,neutral,1
6,16,6,three-five-par-n,They killed five members of the old board.,They killed seven members of the old board.,neutral,1
6,16,7,three-five-par-n,They killed seven members of the old board.,They didn't kill five members of the old board.,neutral,1
6,16,8,three-five-par-n,They didn't kill five members of the old board.,They killed seven members of the old board.,neutral,1
6,16,9,three-five-par-c,They didn't kill five members of the old board.,They killed less than five members of the old board.,neutral,1
6,16,10,three-five-par-c,They didn't kill five members of the old board.,They killed at most four members of the old board.,neutral,1
6,16,11,three-five-par-c,They didn't kill five members of the old board.,They killed at least one member of the old board.,implicature,3
6,17,1,three-five-par-n,Five of the passengers on the bus were sleeping.,Seven of the passengers on the bus weren't sleeping.,neutral,1
6,17,2,three-five-par-n,More than five of the passengers on the bus weren't sleeping.,Five of the passengers on the bus were sleeping.,neutral,1
6,17,3,three-five-par-n,Five of the passengers on the bus weren't sleeping.,Seven of the passengers on the bus weren't sleeping.,neutral,1
6,17,4,three-five-par-n,Seven of the passengers on the bus were sleeping.,Five of the passengers on the bus were sleeping.,entailment,0
6,17,5,three-five-par-n,Seven of the passengers on the bus weren't sleeping.,Five of the passengers on the bus weren't sleeping.,neutral,1
6,17,6,three-five-par-n,Five of the passengers on the bus were sleeping.,Seven of the passengers on the bus were sleeping.,neutral,1
6,17,7,three-five-par-n,Seven of the passengers on the bus were sleeping.,Five of the passengers on the bus weren't sleeping.,neutral,1
6,17,8,three-five-par-n,Five of the passengers on the bus weren't sleeping.,Seven of the passengers on the bus were sleeping.,neutral,1
6,17,9,three-five-par-c,Five of the passengers on the bus weren't sleeping.,Less than five of the passengers on the bus were sleeping.,neutral,1
6,17,10,three-five-par-c,Five of the passengers on the bus weren't sleeping.,At most four of the passengers on the bus were sleeping.,neutral,1
6,17,11,three-five-par-c,Five of the passengers on the bus weren't sleeping.,At least one of the passengers on the bus was sleeping.,implicature,3
6,18,1,three-five-par-n,Five of the trees in the field have turned to ash.,Seven of the trees in the field haven't turned to ash.,neutral,1
6,18,2,three-five-par-n,More than five of the trees in the field haven't turned to ash.,Five of the trees in the field have turned to ash.,neutral,1
6,18,3,three-five-par-n,Five of the trees in the field haven't turned to ash.,Seven of the trees in the field haven't turned to ash.,neutral,1
6,18,4,three-five-par-n,Seven of the trees in the field have turned to ash.,Five of the trees in the field have turned to ash.,entailment,0
6,18,5,three-five-par-n,Seven of the trees in the field haven't turned to ash.,Five of the trees in the field haven't turned to ash.,neutral,1
6,18,6,three-five-par-n,Five of the trees in the field have turned to ash.,Seven of the trees in the field have turned to ash.,neutral,1
6,18,7,three-five-par-n,Seven of the trees in the field have turned to ash.,Five of the trees in the field haven't turned to ash.,neutral,1
6,18,8,three-five-par-n,Five of the trees in the field haven't turned to ash.,Seven of the trees in the field have turned to ash.,neutral,1
6,18,9,three-five-par-c,Five of the trees in the field haven't turned to ash.,Less than five of the trees in the field have turned to ash.,neutral,1
6,18,10,three-five-par-c,Five of the trees in the field haven't turned to ash.,At most four of the trees in the field have turned to ash.,neutral,1
6,18,11,three-five-par-c,Five of the trees in the field haven't turned to ash.,At least one of the trees in the field has turned to ash.,implicature,3
6,19,1,three-five-par-n,We reached five of our goals.,We didn't reach seven of our goals.,neutral,1
6,19,2,three-five-par-n,We didn't reach more than five of our goals.,We reached five of our goals.,neutral,1
6,19,3,three-five-par-n,We didn't reach five of our goals.,We didn't reach seven of our goals.,neutral,1
6,19,4,three-five-par-n,We reached seven of our goals.,We reached five of our goals.,entailment,0
6,19,5,three-five-par-n,We didn't reach seven of our goals.,We didn't reach five of our goals.,neutral,1
6,19,6,three-five-par-n,We reached five of our goals.,We reached seven of our goals.,neutral,1
6,19,7,three-five-par-n,We reached seven of our goals.,We didn't reach five of our goals.,neutral,1
6,19,8,three-five-par-n,We didn't reach five of our goals.,We reached seven of our goals.,neutral,1
6,19,9,three-five-par-c,We didn't reach five of our goals.,We reached less than five of our goals.,neutral,1
6,19,10,three-five-par-c,We didn't reach five of our goals.,We reached at most four of our goals.,neutral,1
6,19,11,three-five-par-c,We didn't reach five of our goals.,We reached at least one of our goals.,implicature,3
6,20,1,three-five-par-n,Five seats on the bus are broken.,Seven seats on the bus aren't broken.,neutral,1
6,20,2,three-five-par-n,More than five seats on the bus aren't broken.,Five seats on the bus are broken.,neutral,1
6,20,3,three-five-par-n,Five seats on the bus aren't broken.,Seven seats on the bus aren't broken.,neutral,1
6,20,4,three-five-par-n,Seven seats on the bus are broken.,Five seats on the bus are broken.,entailment,0
6,20,5,three-five-par-n,Seven seats on the bus aren't broken.,Five seats on the bus aren't broken.,neutral,1
6,20,6,three-five-par-n,Five seats on the bus are broken.,Seven seats on the bus are broken.,neutral,1
6,20,7,three-five-par-n,Seven seats on the bus are broken.,Five seats on the bus aren't broken.,neutral,1
6,20,8,three-five-par-n,Five seats on the bus aren't broken.,Seven seats on the bus are broken.,neutral,1
6,20,9,three-five-par-c,Five seats on the bus aren't broken.,Less than five seats on the bus are broken.,neutral,1
6,20,10,three-five-par-c,Five seats on the bus aren't broken.,At most four seats on the bus are broken.,neutral,1
6,20,11,three-five-par-c,Five seats on the bus aren't broken.,At least one seat on the bus is broken.,implicature,3
6,21,1,ten-twelve-par-n,He broke ten of the glasses.,He didn't break twelve of the glasses.,neutral,1
6,21,2,ten-twelve-par-n,He didn't break more than ten of the glasses.,He broke ten of the glasses.,neutral,1
6,21,3,ten-twelve-par-n,He didn't break ten of the glasses.,He didn't break twelve of the glasses.,neutral,1
6,21,4,ten-twelve-par-n,He broke twelve of the glasses.,He broke ten of the glasses.,entailment,0
6,21,5,ten-twelve-par-n,He didn't break twelve of the glasses.,He didn't break ten of the glasses.,neutral,1
6,21,6,ten-twelve-par-n,He broke ten of the glasses.,He broke twelve of the glasses.,neutral,1
6,21,7,ten-twelve-par-n,He broke twelve of the glasses.,He didn't break ten of the glasses.,neutral,1
6,21,8,ten-twelve-par-n,He didn't break ten of the glasses.,He broke twelve of the glasses.,neutral,1
6,21,9,ten-twelve-par-c,He didn't break ten of the glasses.,He broke less than ten of the glasses.,neutral,1
6,21,10,ten-twelve-par-c,He didn't break ten of the glasses.,He broke at most nine of the glasses.,neutral,1
6,21,11,ten-twelve-par-c,He didn't break ten of the glasses.,He broke at least one of the glasses.,implicature,3
6,22,1,ten-twelve-par-n,Ten of the department's students failed the class.,Twelve of the department's students didn't fail the class.,neutral,1
6,22,2,ten-twelve-par-n,More than ten of the department's students didn't fail the class.,Ten of the department's students failed the class.,neutral,1
6,22,3,ten-twelve-par-n,Ten of the department's students didn't fail the class.,Twelve of the department's students didn't fail the class.,neutral,1
6,22,4,ten-twelve-par-n,Twelve of the department's students failed the class.,Ten of the department's students failed the class.,entailment,0
6,22,5,ten-twelve-par-n,Twelve of the department's students didn't fail the class.,Ten of the department's students didn't fail the class.,neutral,1
6,22,6,ten-twelve-par-n,Ten of the department's students failed the class.,Twelve of the department's students failed the class.,neutral,1
6,22,7,ten-twelve-par-n,Twelve of the department's students failed the class.,Ten of the department's students didn't fail the class.,neutral,1
6,22,8,ten-twelve-par-n,Ten of the department's students didn't fail the class.,Twelve of the department's students failed the class.,neutral,1
6,22,9,ten-twelve-par-c,Ten of the department's students didn't fail the class.,Less than ten of the department's students failed the class.,neutral,1
6,22,10,ten-twelve-par-c,Ten of the department's students didn't fail the class.,At most nine of the department's students failed the class.,neutral,1
6,22,11,ten-twelve-par-c,Ten of the department's students didn't fail the class.,At least one of the department's students failed the class.,implicature,3
6,23,1,ten-twelve-par-n,Ten of the places have closed.,Twelve of the places haven't closed.,neutral,1
6,23,2,ten-twelve-par-n,More than ten of the places haven't closed.,Ten of the places have closed.,neutral,1
6,23,3,ten-twelve-par-n,Ten of the places haven't closed.,Twelve of the places haven't closed.,neutral,1
6,23,4,ten-twelve-par-n,Twelve of the places have closed.,Ten of the places have closed.,entailment,0
6,23,5,ten-twelve-par-n,Twelve of the places haven't closed.,Ten of the places haven't closed.,neutral,1
6,23,6,ten-twelve-par-n,Ten of the places have closed.,Twelve of the places have closed.,neutral,1
6,23,7,ten-twelve-par-n,Twelve of the places have closed.,Ten of the places haven't closed.,neutral,1
6,23,8,ten-twelve-par-n,Ten of the places haven't closed.,Twelve of the places have closed.,neutral,1
6,23,9,ten-twelve-par-c,Ten of the places haven't closed.,Less than ten of the places have closed.,neutral,1
6,23,10,ten-twelve-par-c,Ten of the places haven't closed.,At most nine of the places have closed.,neutral,1
6,23,11,ten-twelve-par-c,Ten of the places haven't closed.,At least one of the places has closed.,implicature,3
6,24,1,ten-twelve-par-n,Ten of the candidates are business graduates.,Twelve of the candidates are not business graduates.,neutral,1
6,24,2,ten-twelve-par-n,More than ten of the candidates are not business graduates.,Ten of the candidates are business graduates.,neutral,1
6,24,3,ten-twelve-par-n,Ten of the candidates are not business graduates.,Twelve of the candidates are not business graduates.,neutral,1
6,24,4,ten-twelve-par-n,Twelve of the candidates are business graduates.,Ten of the candidates are business graduates.,entailment,0
6,24,5,ten-twelve-par-n,Twelve of the candidates are not business graduates.,Ten of the candidates are not business graduates.,neutral,1
6,24,6,ten-twelve-par-n,Ten of the candidates are business graduates.,Twelve of the candidates are business graduates.,neutral,1
6,24,7,ten-twelve-par-n,Twelve of the candidates are business graduates.,Ten of the candidates are not business graduates.,neutral,1
6,24,8,ten-twelve-par-n,Ten of the candidates are not business graduates.,Twelve of the candidates are business graduates.,neutral,1
6,24,9,ten-twelve-par-c,Ten of the candidates are not business graduates.,Less than ten of the candidates are business graduates.,neutral,1
6,24,10,ten-twelve-par-c,Ten of the candidates are not business graduates.,At most nine of the candidates are business graduates.,neutral,1
6,24,11,ten-twelve-par-c,Ten of the candidates are not business graduates.,At least one of the candidates is a business graduate.,implicature,3
6,25,1,ten-twelve-par-n,He memorized ten lines of the poem.,He didn't memorize twelve lines of the poem.,neutral,1
6,25,2,ten-twelve-par-n,He didn't memorize more than ten lines of the poem.,He memorized ten lines of the poem.,neutral,1
6,25,3,ten-twelve-par-n,He didn't memorize ten lines of the poem.,He didn't memorize twelve lines of the poem.,neutral,1
6,25,4,ten-twelve-par-n,He memorized twelve lines of the poem.,He memorized ten lines of the poem.,entailment,0
6,25,5,ten-twelve-par-n,He didn't memorize twelve lines of the poem.,He didn't memorize ten lines of the poem.,neutral,1
6,25,6,ten-twelve-par-n,He memorized ten lines of the poem.,He memorized twelve lines of the poem.,neutral,1
6,25,7,ten-twelve-par-n,He memorized twelve lines of the poem.,He didn't memorize ten lines of the poem.,neutral,1
6,25,8,ten-twelve-par-n,He didn't memorize ten lines of the poem.,He memorized twelve lines of the poem.,neutral,1
6,25,9,ten-twelve-par-c,He didn't memorize ten lines of the poem.,He memorized fewer than ten lines of the poem.,neutral,1
6,25,10,ten-twelve-par-c,He didn't memorize ten lines of the poem.,He memorized at most nine lines of the poem.,neutral,1
6,25,11,ten-twelve-par-c,He didn't memorize ten lines of the poem.,He memorized at least one line of the poem.,implicature,3
6,26,1,ten-twelve-par-n,Ten of those we talked to agreed with him.,Twelve of those we talked to didn't agree with him.,neutral,1
6,26,2,ten-twelve-par-n,More than ten of those we talked to didn't agree with him.,Ten of those we talked to agreed with him.,neutral,1
6,26,3,ten-twelve-par-n,Ten of those we talked to didn't agree with him.,Twelve of those we talked to didn't agree with him.,neutral,1
6,26,4,ten-twelve-par-n,Twelve of those we talked to agreed with him.,Ten of those we talked to agreed with him.,entailment,0
6,26,5,ten-twelve-par-n,Twelve of those we talked to didn't agree with him.,Ten of those we talked to didn't agree with him.,neutral,1
